0,12,11,0,12,0,0,0,0,8,6,3,0,6,17,13,4,2,2,0,7,18,16,
12,0,16,3,3,0,0,7,0,0,20,21,18,6,11,19,4,22,5,6,12,21,0,
11,16,0,0,0,5,17,17,3,0,20,9,21,20,20,13,0,3,8,0,0,0,9,
0,3,0,0,14,0,0,4,5,1,2,0,9,22,10,0,5,1,0,9,0,0,0,
12,3,0,14,0,16,0,22,3,0,0,2,16,7,15,0,11,4,1,0,0,1,16,
0,0,5,0,16,0,0,2,21,0,0,2,0,2,0,6,9,17,2,0,4,12,22,
0,0,17,0,0,0,0,6,8,0,22,4,0,0,15,16,3,4,0,6,16,13,19,
0,7,17,4,22,2,6,0,18,7,4,0,21,0,12,8,0,21,3,22,5,10,0,
0,0,3,5,3,21,8,18,0,10,13,6,0,5,0,3,0,0,9,14,21,18,0,
8,0,0,1,0,0,0,7,10,0,8,19,0,0,16,12,15,8,20,9,8,0,11,
6,20,20,2,0,0,22,4,13,8,0,0,1,0,22,12,2,0,2,0,13,0,20,
3,21,9,0,2,2,4,0,6,19,0,0,0,10,15,0,6,18,2,19,8,16,11,
0,18,21,9,16,0,0,21,0,0,1,0,0,0,18,4,10,14,9,9,12,6,4,
6,6,20,22,7,2,0,0,5,0,0,10,0,0,8,14,0,16,3,0,9,15,11,
17,11,20,10,15,0,15,12,0,16,22,15,18,8,0,0,0,15,0,15,0,0,11,
13,19,13,0,0,6,16,8,3,12,12,0,4,14,0,0,13,0,0,12,3,0,21,
4,4,0,5,11,9,3,0,0,15,2,6,10,0,0,13,0,22,0,14,17,0,11,
2,22,3,1,4,17,4,21,0,8,0,18,14,16,15,0,22,0,9,19,12,13,0,
2,5,8,0,1,2,0,3,9,20,2,2,9,3,0,0,0,9,0,3,20,17,3,
0,6,0,9,0,0,6,22,14,9,0,19,9,0,15,12,14,19,3,0,0,0,13,
7,12,0,0,0,4,16,5,21,8,13,8,12,9,0,3,17,12,20,0,0,0,0,
18,21,0,0,1,12,13,10,18,0,0,16,6,15,0,0,0,13,17,0,0,0,0,
16,0,9,0,16,22,19,0,0,11,20,11,4,11,11,21,11,0,3,13,0,0,0,
