0,0,13,11,1,0,0,15,17,14,5,8,2,9,13,11,1,17,
0,0,0,11,11,13,0,14,16,13,0,6,16,0,0,2,6,10,
13,0,0,15,3,13,1,13,9,11,0,0,0,5,0,1,0,1,
11,11,15,0,0,1,3,0,5,1,1,0,15,11,7,0,16,15,
1,11,3,0,0,8,12,1,9,5,17,0,16,0,0,6,12,3,
0,13,13,1,8,0,0,12,12,10,2,0,0,2,3,0,5,4,
0,0,1,3,12,0,0,3,5,2,12,0,14,15,1,13,14,15,
15,14,13,0,1,12,3,0,9,15,6,0,13,5,15,0,7,3,
17,16,9,5,9,12,5,9,0,8,3,11,14,2,0,0,16,1,
14,13,11,1,5,10,2,15,8,0,8,5,6,1,17,0,7,9,
5,0,0,1,17,2,12,6,3,8,0,0,0,12,2,11,17,0,
8,6,0,0,0,0,0,0,11,5,0,0,10,0,5,6,11,2,
2,16,0,15,16,0,14,13,14,6,0,10,0,0,1,4,5,9,
9,0,5,11,0,2,15,5,2,1,12,0,0,0,15,0,7,13,
13,0,0,7,0,3,1,15,0,17,2,5,1,15,0,10,16,5,
11,2,1,0,6,0,13,0,0,0,11,6,4,0,10,0,1,17,
1,6,0,16,12,5,14,7,16,7,17,11,5,7,16,1,0,4,
17,10,1,15,3,4,15,3,1,9,0,2,9,13,5,17,4,0,
