0,16,6,11,0,0,0,0,7,0,5,12,1,0,5,16,15,
16,0,2,0,1,14,0,15,14,1,15,5,0,0,11,0,0,
6,2,0,3,0,10,0,12,16,0,14,3,13,13,12,3,6,
11,0,3,0,0,2,5,15,15,15,13,0,0,14,5,13,4,
0,1,0,0,0,9,8,1,11,9,0,7,0,1,9,14,0,
0,14,10,2,9,0,0,0,0,13,5,7,3,0,8,2,0,
0,0,0,5,8,0,0,15,0,12,0,9,7,4,0,1,15,
0,15,12,15,1,0,15,0,0,0,7,10,4,4,3,0,13,
7,14,16,15,11,0,0,0,0,0,14,7,6,8,13,0,12,
0,1,0,15,9,13,12,0,0,0,8,8,1,6,8,1,11,
5,15,14,13,0,5,0,7,14,8,0,13,0,5,7,0,0,
12,5,3,0,7,7,9,10,7,8,13,0,0,0,7,1,11,
1,0,13,0,0,3,7,4,6,1,0,0,0,14,15,0,5,
0,0,13,14,1,0,4,4,8,6,5,0,14,0,16,0,0,
5,11,12,5,9,8,0,3,13,8,7,7,15,16,0,11,15,
16,0,3,13,14,2,1,0,0,1,0,1,0,0,11,0,13,
15,0,6,4,0,0,15,13,12,11,0,11,5,0,15,13,0,
