0,20,0,0,0,0,14,27,3,18,30,14,6,1,0,22,25,7,1,8,20,31,3,11,15,21,0,0,0,0,26,6,6,18,
20,0,17,24,19,23,0,27,0,17,0,0,2,20,28,1,5,11,19,0,0,0,7,25,13,2,27,0,14,0,16,0,29,20,
0,17,0,11,1,25,0,0,7,5,25,0,28,27,24,16,0,5,0,3,0,18,14,4,9,0,25,33,4,31,8,23,0,8,
0,24,11,0,0,22,22,18,7,10,0,0,31,20,17,8,32,32,16,0,0,0,6,25,0,3,0,16,0,19,8,2,18,10,
0,19,1,0,0,0,12,29,14,3,5,0,7,0,19,32,22,0,18,33,32,0,15,7,11,0,3,19,0,0,2,26,19,26,
0,23,25,22,0,0,14,25,19,14,21,13,16,28,19,0,15,0,33,22,17,29,0,2,10,8,0,17,0,15,5,16,8,0,
14,0,0,22,12,14,0,28,32,0,0,31,14,0,27,1,26,20,12,0,15,0,32,8,20,0,30,30,10,0,15,0,25,2,
27,27,0,18,29,25,28,0,14,0,0,1,18,26,0,0,0,25,10,0,31,29,5,24,20,0,0,4,18,17,13,0,12,0,
3,0,7,7,14,19,32,14,0,18,5,23,8,13,15,28,29,0,17,32,31,10,13,4,0,0,0,29,23,31,0,13,32,0,
18,17,5,10,3,14,0,0,18,0,33,32,4,18,0,23,7,13,26,9,3,16,12,12,7,8,9,0,0,0,26,26,0,8,
30,0,25,0,5,21,0,0,5,33,0,22,0,1,9,1,1,3,28,13,28,22,7,0,4,0,15,0,30,25,25,8,22,15,
14,0,0,0,0,13,31,1,23,32,22,0,6,26,25,29,18,18,33,26,0,0,0,20,32,4,25,5,0,5,5,12,16,10,
6,2,28,31,7,16,14,18,8,4,0,6,0,31,2,11,28,12,5,14,29,0,13,20,0,11,14,0,32,11,0,13,0,0,
1,20,27,20,0,28,0,26,13,18,1,26,31,0,12,13,26,30,9,21,6,9,32,9,10,31,25,19,0,21,26,13,21,0,
0,28,24,17,19,19,27,0,15,0,9,25,2,12,0,0,0,16,13,0,32,16,17,5,17,4,29,26,8,0,5,28,20,0,
22,1,16,8,32,0,1,0,28,23,1,29,11,13,0,0,15,0,0,17,0,31,0,0,11,19,0,2,0,8,0,19,19,9,
25,5,0,32,22,15,26,0,29,7,1,18,28,26,0,15,0,20,13,0,7,23,29,6,6,6,12,0,1,0,0,32,9,0,
7,11,5,32,0,0,20,25,0,13,3,18,12,30,16,0,20,0,20,26,0,18,16,2,18,4,10,20,0,21,0,21,26,7,
1,19,0,16,18,33,12,10,17,26,28,33,5,9,13,0,13,20,0,16,15,13,23,2,0,8,32,0,2,0,2,0,0,0,
8,0,3,0,33,22,0,0,32,9,13,26,14,21,0,17,0,26,16,0,20,1,14,0,3,0,14,3,9,16,14,3,0,14,
20,0,0,0,32,17,15,31,31,3,28,0,29,6,32,0,7,0,15,20,0,3,24,20,0,28,27,18,0,20,0,18,0,10,
31,0,18,0,0,29,0,29,10,16,22,0,0,9,16,31,23,18,13,1,3,0,31,31,31,13,9,0,9,13,0,10,0,1,
3,7,14,6,15,0,32,5,13,12,7,0,13,32,17,0,29,16,23,14,24,31,0,6,28,2,6,14,0,0,26,23,0,4,
11,25,4,25,7,2,8,24,4,12,0,20,20,9,5,0,6,2,2,0,20,31,6,0,29,9,16,0,1,29,0,14,0,0,
15,13,9,0,11,10,20,20,0,7,4,32,0,10,17,11,6,18,0,3,0,31,28,29,0,0,19,0,24,31,3,0,17,0,
21,2,0,3,0,8,0,0,0,8,0,4,11,31,4,19,6,4,8,0,28,13,2,9,0,0,19,13,30,8,0,28,22,2,
0,27,25,0,3,0,30,0,0,9,15,25,14,25,29,0,12,10,32,14,27,9,6,16,19,19,0,19,13,0,7,20,0,5,
0,0,33,16,19,17,30,4,29,0,0,5,0,19,26,2,0,20,0,3,18,0,14,0,0,13,19,0,0,18,14,0,9,0,
0,14,4,0,0,0,10,18,23,0,30,0,32,0,8,0,1,0,2,9,0,9,0,1,24,30,13,0,0,6,10,0,26,0,
0,0,31,19,0,15,0,17,31,0,25,5,11,21,0,8,0,21,0,16,20,13,0,29,31,8,0,18,6,0,22,18,9,30,
26,16,8,8,2,5,15,13,0,26,25,5,0,26,5,0,0,0,2,14,0,0,26,0,3,0,7,14,10,22,0,0,31,0,
6,0,23,2,26,16,0,0,13,26,8,12,13,13,28,19,32,21,0,3,18,10,23,14,0,28,20,0,0,18,0,0,8,13,
6,29,0,18,19,8,25,12,32,0,22,16,0,21,20,19,9,26,0,0,0,0,0,0,17,22,0,9,26,9,31,8,0,22,
18,20,8,10,26,0,2,0,0,8,15,10,0,0,0,9,0,7,0,14,10,1,4,0,0,2,5,0,0,30,0,13,22,0,
