0,10,21,23,0,16,1,24,1,25,18,0,7,19,12,0,0,0,15,3,3,21,5,19,6,0,0,20,
10,0,5,5,1,27,2,8,0,0,0,9,2,8,22,25,0,23,0,19,22,7,0,3,14,0,0,22,
21,5,0,3,1,7,3,0,0,1,1,0,0,0,0,0,15,0,0,3,0,18,3,10,18,12,24,17,
23,5,3,0,0,22,11,5,25,25,18,3,26,0,3,27,1,0,0,2,0,21,18,24,11,23,10,14,
0,1,1,0,0,16,15,25,1,5,26,0,24,6,0,20,0,0,1,16,0,0,11,0,0,0,0,2,
16,27,7,22,16,0,0,12,0,24,0,0,0,0,24,0,0,18,16,25,17,22,2,5,0,0,0,14,
1,2,3,11,15,0,0,17,3,0,15,4,0,0,8,13,1,16,9,0,20,2,24,24,0,17,16,8,
24,8,0,5,25,12,17,0,21,11,13,0,0,18,1,4,27,21,13,21,11,18,24,27,21,20,22,18,
1,0,0,25,1,0,3,21,0,3,25,0,22,14,9,25,24,11,18,9,0,18,21,25,26,19,5,4,
25,0,1,25,5,24,0,11,3,0,0,0,16,10,14,6,0,10,18,8,0,15,16,11,4,4,6,18,
18,0,1,18,26,0,15,13,25,0,0,2,0,0,0,4,22,22,27,9,1,0,10,25,13,22,25,24,
0,9,0,3,0,0,4,0,0,0,2,0,1,7,0,11,20,0,5,1,6,0,2,12,15,0,21,11,
7,2,0,26,24,0,0,0,22,16,0,1,0,6,0,4,3,0,0,5,16,27,0,0,0,0,0,0,
19,8,0,0,6,0,0,18,14,10,0,7,6,0,0,0,25,20,4,12,8,9,12,21,15,19,0,26,
12,22,0,3,0,24,8,1,9,14,0,0,0,0,0,10,17,16,17,0,14,11,17,22,12,1,8,6,
0,25,0,27,20,0,13,4,25,6,4,11,4,0,10,0,0,0,5,18,1,13,23,1,24,22,1,9,
0,0,15,1,0,0,1,27,24,0,22,20,3,25,17,0,0,3,26,18,9,3,15,0,0,21,11,8,
0,23,0,0,0,18,16,21,11,10,22,0,0,20,16,0,3,0,27,23,4,25,22,12,18,5,0,0,
15,0,0,0,1,16,9,13,18,18,27,5,0,4,17,5,26,27,0,0,5,2,0,24,0,1,24,0,
3,19,3,2,16,25,0,21,9,8,9,1,5,12,0,18,18,23,0,0,1,23,12,11,1,12,3,14,
3,22,0,0,0,17,20,11,0,0,1,6,16,8,14,1,9,4,5,1,0,0,18,20,13,10,24,26,
21,7,18,21,0,22,2,18,18,15,0,0,27,9,11,13,3,25,2,23,0,0,13,11,0,23,13,0,
5,0,3,18,11,2,24,24,21,16,10,2,0,12,17,23,15,22,0,12,18,13,0,0,26,0,13,24,
19,3,10,24,0,5,24,27,25,11,25,12,0,21,22,1,0,12,24,11,20,11,0,0,0,0,10,23,
6,14,18,11,0,0,0,21,26,4,13,15,0,15,12,24,0,18,0,1,13,0,26,0,0,0,0,3,
0,0,12,23,0,0,17,20,19,4,22,0,0,19,1,22,21,5,1,12,10,23,0,0,0,0,0,4,
0,0,24,10,0,0,16,22,5,6,25,21,0,0,8,1,11,0,24,3,24,13,13,10,0,0,0,23,
20,22,17,14,2,14,8,18,4,18,24,11,0,26,6,9,8,0,0,14,26,0,24,23,3,4,23,0,
