0,0,21,15,19,18,12,1,14,19,4,16,0,23,23,5,12,23,0,11,21,6,7,3,10,12,
0,0,22,0,0,0,10,24,5,13,10,12,15,7,24,0,4,15,12,0,13,19,0,0,11,0,
21,22,0,25,0,7,0,21,13,16,5,8,5,11,24,6,19,0,10,12,0,5,11,0,2,0,
15,0,25,0,0,4,0,21,25,0,2,0,10,21,3,13,2,1,0,0,21,0,9,7,4,0,
19,0,0,0,0,2,0,15,1,0,0,14,12,25,0,0,2,25,17,16,8,25,12,0,4,0,
18,0,7,4,2,0,9,20,0,7,0,16,11,7,6,20,18,0,15,0,0,22,0,9,20,13,
12,10,0,0,0,9,0,10,20,0,6,15,0,15,5,18,9,0,18,0,10,17,0,0,0,16,
1,24,21,21,15,20,10,0,12,0,0,4,12,13,2,1,2,25,17,14,22,0,20,7,0,4,
14,5,13,25,1,0,20,12,0,25,0,0,21,0,22,21,8,3,0,13,25,6,13,17,0,0,
19,13,16,0,0,7,0,0,25,0,0,6,25,7,12,21,0,19,6,3,0,0,0,14,4,0,
4,10,5,2,0,0,6,0,0,0,0,0,2,21,0,0,7,11,15,12,21,12,16,10,20,2,
16,12,8,0,14,16,15,4,0,6,0,0,0,0,0,12,1,22,24,19,4,1,24,10,20,24,
0,15,5,10,12,11,0,12,21,25,2,0,0,14,5,10,0,23,22,6,4,0,0,25,0,18,
23,7,11,21,25,7,15,13,0,7,21,0,14,0,25,0,13,0,25,7,23,2,11,0,17,9,
23,24,24,3,0,6,5,2,22,12,0,0,5,25,0,15,7,0,0,0,0,0,0,5,9,23,
5,0,6,13,0,20,18,1,21,21,0,12,10,0,15,0,14,25,15,0,0,22,16,19,11,14,
12,4,19,2,2,18,9,2,8,0,7,1,0,13,7,14,0,20,0,3,0,20,24,4,10,0,
23,15,0,1,25,0,0,25,3,19,11,22,23,0,0,25,20,0,0,9,1,24,23,5,9,7,
0,12,10,0,17,15,18,17,0,6,15,24,22,25,0,15,0,0,0,1,24,0,23,16,23,23,
11,0,12,0,16,0,0,14,13,3,12,19,6,7,0,0,3,9,1,0,6,20,10,25,0,4,
21,13,0,21,8,0,10,22,25,0,21,4,4,23,0,0,0,1,24,6,0,11,0,0,2,24,
6,19,5,0,25,22,17,0,6,0,12,1,0,2,0,22,20,24,0,20,11,0,10,2,0,0,
7,0,11,9,12,0,0,20,13,0,16,24,0,11,0,16,24,23,23,10,0,10,0,0,0,0,
3,0,0,7,0,9,0,7,17,14,10,10,25,0,5,19,4,5,16,25,0,2,0,0,0,14,
10,11,2,4,4,20,0,0,0,4,20,20,0,17,9,11,10,9,23,0,2,0,0,0,0,0,
12,0,0,0,0,13,16,4,0,0,2,24,18,9,23,14,0,7,23,4,24,0,0,14,0,0,
