0,26,0,0,27,6,0,16,0,15,31,39,0,0,12,7,16,6,21,10,28,19,0,0,13,14,10,0,27,36,10,9,30,41,24,14,14,0,34,11,24,6,
26,0,7,5,7,2,27,5,34,40,0,2,34,4,0,16,29,19,0,22,11,0,0,23,0,5,9,33,0,23,13,0,0,19,0,0,0,0,41,0,21,8,
0,7,0,1,16,0,6,0,27,34,6,36,12,24,0,0,0,30,0,37,22,0,0,16,34,24,2,12,34,2,2,34,39,0,0,0,23,38,35,33,0,37,
0,5,1,0,0,0,6,8,0,8,1,3,35,25,34,23,11,7,28,17,5,0,24,2,6,11,24,36,0,12,40,0,0,17,0,0,31,25,3,19,37,0,
27,7,16,0,0,4,13,0,21,31,41,33,1,4,9,0,5,0,0,15,15,27,0,0,9,11,36,0,24,12,0,38,38,0,0,0,0,1,5,20,16,4,
6,2,0,0,4,0,0,33,11,31,0,30,37,17,37,9,13,11,0,30,2,19,38,27,2,16,8,0,24,38,20,0,27,18,4,0,27,0,29,31,28,20,
0,27,6,6,13,0,0,0,17,21,30,6,0,0,29,32,17,41,3,17,24,6,8,14,11,8,10,0,0,39,9,15,0,33,15,28,0,0,27,40,11,0,
16,5,0,8,0,33,0,0,15,35,13,0,23,22,41,0,33,1,27,5,8,0,0,19,37,0,6,30,38,2,10,22,29,1,11,0,0,29,6,34,15,33,
0,34,27,0,21,11,17,15,0,1,33,30,41,15,0,5,15,29,17,22,10,0,19,0,21,20,19,25,15,26,0,0,0,30,8,8,10,21,0,34,39,0,
15,40,34,8,31,31,21,35,1,0,24,0,1,0,0,0,0,21,0,0,40,35,4,32,38,0,9,21,28,41,28,18,0,0,18,9,0,0,35,34,11,0,
31,0,6,1,41,0,30,13,33,24,0,0,0,0,31,41,15,30,0,14,36,0,11,25,8,41,3,34,0,0,13,24,0,13,1,5,0,39,9,18,40,17,
39,2,36,3,33,30,6,0,30,0,0,0,23,3,0,0,34,7,0,34,16,30,4,22,0,19,1,41,0,38,34,12,40,34,19,12,1,23,9,27,35,34,
0,34,12,35,1,37,0,23,41,1,0,23,0,33,14,34,1,25,34,0,10,5,26,10,36,8,34,0,12,0,28,5,0,0,7,11,3,36,14,9,12,0,
0,4,24,25,4,17,0,22,15,0,0,3,33,0,11,0,7,0,0,10,0,31,20,9,34,29,14,40,1,37,4,14,23,31,27,15,23,27,33,0,0,0,
12,0,0,34,9,37,29,41,0,0,31,0,14,11,0,10,0,21,36,0,0,0,25,32,16,0,19,22,41,9,20,11,0,41,33,0,4,12,0,0,4,36,
7,16,0,23,0,9,32,0,5,0,41,0,34,0,10,0,31,33,5,0,2,0,19,0,19,32,0,37,14,25,10,16,12,41,0,0,35,4,22,35,14,0,
16,29,0,11,5,13,17,33,15,0,15,34,1,7,0,31,0,19,35,40,0,0,20,31,0,41,19,33,37,9,1,0,30,0,0,8,8,34,12,2,12,32,
6,19,30,7,0,11,41,1,29,21,30,7,25,0,21,33,19,0,23,36,26,16,20,39,17,38,31,0,0,5,0,37,13,2,26,6,0,29,33,0,28,23,
21,0,0,28,0,0,3,27,17,0,0,0,34,0,36,5,35,23,0,20,19,4,10,0,3,38,20,33,0,0,27,0,41,38,0,0,36,34,0,0,15,18,
10,22,37,17,15,30,17,5,22,0,14,34,0,10,0,0,40,36,20,0,0,3,16,0,0,0,19,6,17,15,19,41,17,27,0,3,7,26,38,23,0,12,
28,11,22,5,15,2,24,8,10,40,36,16,10,0,0,2,0,26,19,0,0,0,0,0,8,0,20,35,11,19,11,0,0,0,0,0,0,0,24,0,0,0,
19,0,0,0,27,19,6,0,0,35,0,30,5,31,0,0,0,16,4,3,0,0,38,41,40,11,0,21,17,28,10,0,6,1,15,6,0,0,32,8,0,38,
0,0,0,24,0,38,8,0,19,4,11,4,26,20,25,19,20,20,10,16,0,38,0,32,29,12,16,30,38,33,22,9,22,7,37,8,28,11,12,25,25,9,
0,23,16,2,0,27,14,19,0,32,25,22,10,9,32,0,31,39,0,0,0,41,32,0,0,17,14,40,26,6,0,25,6,0,39,25,3,1,34,16,27,22,
13,0,34,6,9,2,11,37,21,38,8,0,36,34,16,19,0,17,3,0,8,40,29,0,0,0,13,38,35,33,38,3,12,37,24,14,7,20,30,0,0,18,
14,5,24,11,11,16,8,0,20,0,41,19,8,29,0,32,41,38,38,0,0,11,12,17,0,0,27,37,38,0,0,2,8,24,0,39,1,0,37,0,17,8,
10,9,2,24,36,8,10,6,19,9,3,1,34,14,19,0,19,31,20,19,20,0,16,14,13,27,0,2,11,0,10,0,27,28,8,40,22,0,41,0,30,8,
0,33,12,36,0,0,0,30,25,21,34,41,0,40,22,37,33,0,33,6,35,21,30,40,38,37,2,0,35,41,16,40,20,0,35,41,27,27,34,12,41,10,
27,0,34,0,24,24,0,38,15,28,0,0,12,1,41,14,37,0,0,17,11,17,38,26,35,38,11,35,0,20,6,25,21,9,37,25,0,33,0,6,10,33,
36,23,2,12,12,38,39,2,26,41,0,38,0,37,9,25,9,5,0,15,19,28,33,6,33,0,0,41,20,0,0,4,0,31,37,0,38,21,20,27,37,25,
10,13,2,40,0,20,9,10,0,28,13,34,28,4,20,10,1,0,27,19,11,10,22,0,38,0,10,16,6,0,0,0,38,5,22,36,35,2,2,38,0,13,
9,0,34,0,38,0,15,22,0,18,24,12,5,14,11,16,0,37,0,41,0,0,9,25,3,2,0,40,25,4,0,0,9,26,30,0,0,17,0,0,0,0,
30,0,39,0,38,27,0,29,0,0,0,40,0,23,0,12,30,13,41,17,0,6,22,6,12,8,27,20,21,0,38,9,0,5,14,13,6,32,28,10,31,5,
41,19,0,17,0,18,33,1,30,0,13,34,0,31,41,41,0,2,38,27,0,1,7,0,37,24,28,0,9,31,5,26,5,0,30,0,4,8,0,25,6,30,
24,0,0,0,0,4,15,11,8,18,1,19,7,27,33,0,0,26,0,0,0,15,37,39,24,0,8,35,37,37,22,30,14,30,0,36,30,18,12,9,10,6,
