0,34,0,28,16,8,2,19,0,19,2,12,19,34,3,24,26,27,10,6,8,20,2,0,14,15,26,17,34,0,42,0,37,0,37,0,0,0,5,19,11,35,32,0,38,7,
34,0,3,26,13,18,11,0,31,30,0,0,3,29,12,11,11,11,15,24,32,5,29,39,0,0,25,15,0,28,33,0,41,0,29,4,41,18,0,32,0,31,22,40,0,43,
0,3,0,13,17,13,23,43,38,12,30,0,0,30,22,0,38,0,26,0,0,45,34,2,31,0,24,0,15,38,1,17,29,0,0,12,35,0,44,0,2,13,25,23,0,39,
28,26,13,0,14,10,25,5,19,0,21,35,26,0,10,19,25,0,27,22,0,11,9,0,24,0,30,37,0,16,0,1,35,4,31,0,29,0,0,18,21,14,1,0,5,26,
16,13,17,14,0,9,0,0,31,22,0,40,0,19,0,17,0,0,0,0,37,14,0,0,21,21,0,24,0,37,44,27,39,0,0,18,25,0,0,0,41,20,36,0,0,5,
8,18,13,10,9,0,41,0,43,35,28,37,0,32,29,0,1,32,0,39,14,17,17,15,0,0,29,25,11,0,0,27,3,4,36,28,3,26,0,0,0,0,33,18,44,14,
2,11,23,25,0,41,0,30,13,29,10,15,0,16,29,27,0,4,24,9,0,0,0,0,31,29,0,17,5,41,12,0,8,45,0,10,15,0,42,9,33,10,2,27,5,0,
19,0,43,5,0,0,30,0,6,40,26,8,0,0,32,18,2,4,42,0,19,31,8,11,30,25,0,0,20,16,0,20,37,32,0,3,13,38,10,0,0,43,7,45,21,31,
0,31,38,19,31,43,13,6,0,3,2,7,12,44,6,19,1,0,21,0,31,3,0,0,42,0,0,32,34,6,15,28,28,0,41,10,0,27,16,27,0,30,23,6,7,3,
19,30,12,0,22,35,29,40,3,0,0,0,0,19,1,45,0,2,22,20,0,7,35,35,22,41,1,4,40,12,37,0,18,0,0,33,9,7,31,0,11,24,25,33,0,32,
2,0,30,21,0,28,10,26,2,0,0,19,38,34,26,6,20,0,0,13,12,4,0,5,28,41,23,12,17,0,15,3,32,0,35,0,7,43,14,0,5,0,0,0,12,0,
12,0,0,35,40,37,15,8,7,0,19,0,0,14,0,0,0,27,34,8,9,20,24,33,10,27,0,42,0,44,31,12,37,0,0,25,45,0,0,43,34,17,4,31,30,32,
19,3,0,26,0,0,0,0,12,0,38,0,0,34,14,30,3,0,3,21,0,0,39,8,21,33,18,35,28,1,6,9,9,17,13,18,0,5,0,43,38,24,1,34,0,32,
34,29,30,0,19,32,16,0,44,19,34,14,34,0,18,4,22,0,37,12,0,9,41,26,27,0,0,0,5,31,20,2,33,17,33,13,40,2,30,27,0,22,0,0,29,11,
3,12,22,10,0,29,29,32,6,1,26,0,14,18,0,35,0,38,39,0,3,0,39,45,34,1,0,16,24,0,0,0,0,3,40,0,9,9,38,0,23,14,8,0,25,17,
