0,5,14,11,14,7,4,0,0,10,6,1,0,1,5,
5,0,0,7,11,2,10,8,10,12,0,2,7,12,11,
14,0,0,0,3,2,13,11,8,0,4,10,0,0,6,
11,7,0,0,0,0,10,2,0,7,5,0,9,10,5,
14,11,3,0,0,8,4,9,2,8,6,0,0,11,0,
7,2,2,0,8,0,3,13,7,0,13,14,3,9,11,
4,10,13,10,4,3,0,13,0,0,0,8,9,0,9,
0,8,11,2,9,13,13,0,0,6,0,7,10,8,9,
0,10,8,0,2,7,0,0,0,8,3,3,5,0,14,
10,12,0,7,8,0,0,6,8,0,10,9,9,13,11,
6,0,4,5,6,13,0,0,3,10,0,0,9,9,2,
1,2,10,0,0,14,8,7,3,9,0,0,3,4,14,
0,7,0,9,0,3,9,10,5,9,9,3,0,0,0,
1,12,0,10,11,9,0,8,0,13,9,4,0,0,8,
5,11,6,5,0,11,9,9,14,11,2,14,0,8,0,
