0,35,0,21,30,0,24,8,0,12,31,21,21,43,0,0,4,0,0,10,12,0,27,0,39,0,0,0,33,20,17,0,0,0,17,40,0,28,3,18,27,32,0,6,
35,0,18,33,34,0,0,0,5,13,0,0,27,0,14,11,16,5,17,26,0,0,0,30,0,0,20,25,0,0,0,13,23,10,0,23,29,21,24,34,35,9,0,32,
0,18,0,0,19,10,3,0,41,6,0,17,0,30,13,3,15,16,10,0,0,7,43,18,0,40,22,0,35,0,0,0,21,13,37,12,16,39,15,9,9,35,36,32,
21,33,0,0,20,16,23,0,28,27,10,0,7,1,15,7,20,16,0,23,23,6,25,8,26,16,36,13,0,0,0,23,15,9,2,14,11,33,33,19,0,10,41,21,
30,34,19,20,0,26,0,34,0,11,12,0,0,36,31,2,35,37,23,27,17,7,36,0,0,18,40,9,0,33,10,42,6,0,0,41,0,0,18,0,42,8,41,0,
0,0,10,16,26,0,0,7,22,2,23,15,23,35,0,30,40,23,29,42,0,0,7,29,26,0,35,26,23,10,13,35,28,0,38,41,12,43,20,16,7,16,35,0,
24,0,3,23,0,0,0,28,24,4,29,0,12,0,22,20,32,30,39,40,4,4,0,36,17,33,35,40,36,16,21,35,0,40,40,22,4,14,25,0,41,42,14,28,
8,0,0,0,34,7,28,0,25,31,0,41,3,28,21,27,37,27,26,26,19,21,15,0,7,28,31,21,9,0,21,5,10,9,28,34,0,32,8,0,31,1,30,41,
0,5,41,28,0,22,24,25,0,0,32,2,42,7,23,2,5,0,30,33,16,28,0,39,32,11,35,9,12,42,41,0,9,33,21,28,19,20,9,31,9,43,0,19,
12,13,6,27,11,2,4,31,0,0,12,39,37,40,38,35,16,27,6,0,0,29,0,12,10,0,13,23,8,13,15,16,14,12,0,23,0,22,26,34,27,34,0,25,
31,0,0,10,12,23,29,0,32,12,0,0,0,20,18,10,0,0,42,11,0,8,35,9,39,29,20,2,0,17,19,0,36,3,6,13,0,40,0,33,0,0,29,37,
21,0,17,0,0,15,0,41,2,39,0,0,39,35,17,37,28,41,7,21,6,1,0,30,0,1,35,0,0,1,32,31,0,37,35,0,0,9,36,33,20,0,42,0,
21,27,0,7,0,23,12,3,42,37,0,39,0,0,42,14,21,39,0,43,41,1,31,9,0,21,30,0,36,0,0,26,0,0,4,7,20,0,0,11,26,0,0,18,
43,0,30,1,36,35,0,28,7,40,20,35,0,0,0,17,20,18,6,42,23,0,30,39,1,0,0,42,33,16,35,6,35,15,0,37,25,15,0,2,28,7,25,18,
0,14,13,15,31,0,22,21,23,38,18,17,42,0,0,0,32,0,0,9,10,0,11,0,0,0,0,20,0,17,29,35,0,0,1,40,26,0,37,39,32,20,1,0,
0,11,3,7,2,30,20,27,2,35,10,37,14,17,0,0,0,28,41,8,28,36,0,18,0,40,0,0,33,0,32,10,0,39,0,0,0,3,11,37,35,0,33,39,
4,16,15,20,35,40,32,37,5,16,0,28,21,20,32,0,0,7,16,14,4,1,37,9,0,5,20,5,0,6,0,10,0,24,5,0,12,37,0,1,0,23,35,41,
0,5,16,16,37,23,30,27,0,27,0,41,39,18,0,28,7,0,4,0,39,5,13,25,21,23,27,0,43,0,0,8,25,3,24,0,16,28,4,36,30,0,0,11,
0,17,10,0,23,29,39,26,30,6,42,7,0,6,0,41,16,4,0,1,0,9,32,26,18,27,42,14,0,0,29,37,20,0,8,35,42,42,19,0,0,39,4,39,
10,26,0,23,27,42,40,26,33,0,11,21,43,42,9,8,14,0,1,0,0,0,4,40,25,10,8,18,2,0,5,0,28,36,34,12,0,8,4,0,4,0,23,33,
12,0,0,23,17,0,4,19,16,0,0,6,41,23,10,28,4,39,0,0,0,23,33,1,33,3,6,40,0,42,12,4,0,2,0,0,1,18,30,0,24,23,31,16,
0,0,7,6,7,0,4,21,28,29,8,1,1,0,0,36,1,5,9,0,23,0,0,12,0,0,35,0,41,0,25,21,41,0,31,0,30,3,39,19,4,24,7,12,
27,0,43,25,36,7,0,15,0,0,35,0,31,30,11,0,37,13,32,4,33,0,0,0,0,22,0,8,9,0,17,23,0,16,16,38,13,20,0,14,37,17,0,21,
0,30,18,8,0,29,36,0,39,12,9,30,9,39,0,18,9,25,26,40,1,12,0,0,0,0,8,36,32,27,4,0,24,20,11,16,34,21,0,0,5,0,21,0,
39,0,0,26,0,26,17,7,32,10,39,0,0,1,0,0,0,21,18,25,33,0,0,0,0,18,0,1,4,17,0,17,14,0,26,12,14,9,0,0,20,29,32,10,
0,0,40,16,18,0,33,28,11,0,29,1,21,0,0,40,5,23,27,10,3,0,22,0,18,0,34,0,34,20,27,22,0,0,9,41,0,13,0,0,0,27,40,13,
0,20,22,36,40,35,35,31,35,13,20,35,30,0,0,0,20,27,42,8,6,35,0,8,0,34,0,6,0,33,15,19,31,6,0,33,6,0,2,15,28,0,0,0,
0,25,0,13,9,26,40,21,9,23,2,0,0,42,20,0,5,0,14,18,40,0,8,36,1,0,6,0,35,19,15,22,5,25,0,39,0,8,10,11,20,0,24,30,
33,0,35,0,0,23,36,9,12,8,0,0,36,33,0,33,0,43,0,2,0,41,9,32,4,34,0,35,0,18,38,11,0,6,43,38,36,15,0,27,28,0,0,0,
20,0,0,0,33,10,16,0,42,13,17,1,0,16,17,0,6,0,0,0,42,0,0,27,17,20,33,19,18,0,9,4,0,7,0,25,0,0,0,21,0,22,22,17,
17,0,0,0,10,13,21,21,41,15,19,32,0,35,29,32,0,0,29,5,12,25,17,4,0,27,15,15,38,9,0,25,9,9,11,0,34,11,0,32,28,0,0,3,
0,13,0,23,42,35,35,5,0,16,0,31,26,6,35,10,10,8,37,0,4,21,23,0,17,22,19,22,11,4,25,0,0,24,4,16,30,13,31,8,0,14,0,6,
0,23,21,15,6,28,0,10,9,14,36,0,0,35,0,0,0,25,20,28,0,41,0,24,14,0,31,5,0,0,9,0,0,15,41,5,0,37,12,3,1,20,0,33,
0,10,13,9,0,0,40,9,33,12,3,37,0,15,0,39,24,3,0,36,2,0,16,20,0,0,6,25,6,7,9,24,15,0,6,0,0,43,34,16,0,27,7,0,
17,0,37,2,0,38,40,28,21,0,6,35,4,0,1,0,5,24,8,34,0,31,16,11,26,9,0,0,43,0,11,4,41,6,0,18,0,19,2,0,40,0,3,35,
40,23,12,14,41,41,22,34,28,23,13,0,7,37,40,0,0,0,35,12,0,0,38,16,12,41,33,39,38,25,0,16,5,0,18,0,21,26,39,38,43,13,30,0,
0,29,16,11,0,12,4,0,19,0,0,0,20,25,26,0,12,16,42,0,1,30,13,34,14,0,6,0,36,0,34,30,0,0,0,21,0,4,14,5,15,7,30,29,
28,21,39,33,0,43,14,32,20,22,40,9,0,15,0,3,37,28,42,8,18,3,20,21,9,13,0,8,15,0,11,13,37,43,19,26,4,0,34,0,12,42,33,16,
