0,0,0,16,19,14,16,0,31,23,36,0,35,6,19,0,25,11,0,32,21,12,31,0,28,0,4,31,35,11,15,33,25,30,0,12,0,18,
0,0,18,12,0,7,37,0,8,0,20,22,16,0,15,0,0,0,2,32,25,33,9,19,0,0,10,5,0,32,28,6,25,0,35,12,26,9,
0,18,0,0,0,0,0,10,24,27,0,0,1,16,0,0,0,13,22,10,0,21,19,8,16,36,8,0,5,1,5,32,25,36,24,33,4,0,
16,12,0,0,10,23,13,8,27,0,0,0,0,12,16,3,0,25,31,19,9,36,0,0,15,0,14,5,0,24,0,5,36,20,37,0,26,32,
19,0,0,10,0,19,27,0,27,35,0,24,8,37,3,1,29,0,0,31,11,32,18,16,34,19,14,31,11,9,0,36,0,33,16,29,0,29,
14,7,0,23,19,0,6,0,0,19,17,9,25,5,0,0,5,28,33,17,11,32,15,17,5,0,35,0,12,8,27,13,29,0,23,9,27,5,
16,37,0,13,27,6,0,25,23,28,0,1,6,6,13,10,0,28,30,24,16,10,0,23,0,1,11,32,10,18,35,9,12,2,0,7,33,31,
0,0,10,8,0,0,25,0,24,0,25,5,0,10,6,9,9,0,7,29,0,4,29,16,18,35,33,0,12,19,37,0,29,30,27,28,7,1,
31,8,24,27,27,0,23,24,0,23,31,25,0,25,0,3,30,1,2,0,6,31,25,20,1,4,4,2,25,4,1,0,21,0,21,32,25,31,
23,0,27,0,35,19,28,0,23,0,6,22,13,18,10,0,35,0,33,0,0,9,6,7,13,14,13,12,0,0,10,5,0,0,36,15,33,37,
36,20,0,0,0,17,0,25,31,6,0,5,22,37,25,29,21,0,37,19,0,14,7,4,15,36,18,31,27,7,13,12,0,0,0,34,3,32,
0,22,0,0,24,9,1,5,25,22,5,0,33,0,1,3,0,15,31,0,8,35,5,0,0,0,18,28,31,0,8,0,37,7,8,0,1,36,
35,16,1,0,8,25,6,0,0,13,22,33,0,21,1,6,3,0,0,30,20,0,0,0,7,15,0,19,34,10,36,0,3,0,23,14,0,16,
6,0,16,12,37,5,6,10,25,18,37,0,21,0,0,5,0,21,17,10,22,31,0,32,0,1,3,12,0,27,12,11,30,0,2,17,30,22,
19,15,0,16,3,0,13,6,0,10,25,1,1,0,0,32,0,33,0,32,6,37,19,19,25,18,28,18,0,15,35,0,21,18,25,0,14,0,
0,0,0,3,1,0,10,9,3,0,29,3,6,5,32,0,1,2,0,14,21,0,24,11,25,35,0,8,0,0,31,3,0,15,8,30,9,15,
25,0,0,0,29,5,0,9,30,35,21,0,3,0,0,1,0,27,9,14,0,16,4,28,9,0,0,0,24,19,11,36,0,30,23,35,11,0,
11,0,13,25,0,28,28,0,1,0,0,15,0,21,33,2,27,0,0,19,25,0,0,20,28,29,16,0,35,17,0,7,29,0,7,0,15,0,
0,2,22,31,0,33,30,7,2,33,37,31,0,17,0,0,9,0,0,29,12,6,33,0,22,33,0,8,15,0,36,11,0,0,32,34,35,0,
32,32,10,19,31,17,24,29,0,0,19,0,30,10,32,14,14,19,29,0,10,23,33,0,29,18,4,1,18,21,23,2,9,37,20,37,25,7,
21,25,0,9,11,11,16,0,6,0,0,8,20,22,6,21,0,25,12,10,0,9,27,0,27,37,22,5,0,0,25,26,0,32,0,2,33,26,
12,33,21,36,32,32,10,4,31,9,14,35,0,31,37,0,16,0,6,23,9,0,0,35,17,7,31,33,0,0,0,6,23,0,29,15,0,9,
31,9,19,0,18,15,0,29,25,6,7,5,0,0,19,24,4,0,33,33,27,0,0,0,26,32,23,0,26,20,0,25,20,32,19,6,11,36,
0,19,8,0,16,17,23,16,20,7,4,0,0,32,19,11,28,20,0,0,0,35,0,0,0,0,12,12,24,0,0,0,23,22,29,35,0,28,
28,0,16,15,34,5,0,18,1,13,15,0,7,0,25,25,9,28,22,29,27,17,26,0,0,0,30,23,19,30,10,0,0,30,20,22,0,12,
0,0,36,0,19,0,1,35,4,14,36,0,15,1,18,35,0,29,33,18,37,7,32,0,0,0,10,31,32,0,26,35,36,17,36,36,8,23,
4,10,8,14,14,35,11,33,4,13,18,18,0,3,28,0,0,16,0,4,22,31,23,12,30,10,0,33,27,11,23,21,21,31,0,7,5,0,
31,5,0,5,31,0,32,0,2,12,31,28,19,12,18,8,0,0,8,1,5,33,0,12,23,31,33,0,12,36,17,9,31,14,0,0,18,0,
35,0,5,0,11,12,10,12,25,0,27,31,34,0,0,0,24,35,15,18,0,0,26,24,19,32,27,12,0,31,3,0,0,0,10,22,27,9,
11,32,1,24,9,8,18,19,4,0,7,0,10,27,15,0,19,17,0,21,0,0,20,0,30,0,11,36,31,0,0,16,0,18,19,37,16,6,
15,28,5,0,0,27,35,37,1,10,13,8,36,12,35,31,11,0,36,23,25,0,0,0,10,26,23,17,3,0,0,5,0,0,5,0,0,3,
33,6,32,5,36,13,9,0,0,5,12,0,0,11,0,3,36,7,11,2,26,6,25,0,0,35,21,9,0,16,5,0,7,0,26,22,26,33,
25,25,25,36,0,29,12,29,21,0,0,37,3,30,21,0,0,29,0,9,0,23,20,23,0,36,21,31,0,0,0,7,0,5,26,8,23,0,
30,0,36,20,33,0,2,30,0,0,0,7,0,0,18,15,30,0,0,37,32,0,32,22,30,17,31,14,0,18,0,0,5,0,32,26,34,36,
0,35,24,37,16,23,0,27,21,36,0,8,23,2,25,8,23,7,32,20,0,29,19,29,20,36,0,0,10,19,5,26,26,32,0,19,7,4,
12,12,33,0,29,9,7,28,32,15,34,0,14,17,0,30,35,0,34,37,2,15,6,35,22,36,7,0,22,37,0,22,8,26,19,0,29,37,
0,26,4,26,0,27,33,7,25,33,3,1,0,30,14,9,11,15,35,25,33,0,11,0,0,8,5,18,27,16,0,26,23,34,7,29,0,32,
18,9,0,32,29,5,31,1,31,37,32,36,16,22,0,15,0,0,0,7,26,9,36,28,12,23,0,0,9,6,3,33,0,36,4,37,32,0,
