0,3,8,14,0,17,0,16,11,5,18,19,0,0,0,6,21,17,20,0,4,0,
3,0,18,20,21,10,15,0,0,0,0,6,6,17,4,17,13,17,8,0,14,3,
8,18,0,8,13,7,0,16,4,7,0,0,14,1,15,6,0,16,2,18,0,9,
14,20,8,0,12,20,15,6,0,20,7,20,18,12,0,6,5,14,6,1,11,9,
0,21,13,12,0,0,21,15,8,5,1,20,0,21,15,0,3,16,20,0,3,13,
17,10,7,20,0,0,4,8,1,0,0,19,10,20,17,20,4,1,0,19,10,0,
0,15,0,15,21,4,0,0,0,8,0,0,14,18,14,8,12,0,15,0,4,17,
16,0,16,6,15,8,0,0,0,14,0,11,10,3,14,2,20,15,0,20,1,14,
11,0,4,0,8,1,0,0,0,0,16,0,0,9,0,0,20,0,17,0,2,16,
5,0,7,20,5,0,8,14,0,0,8,1,4,11,10,15,0,10,3,12,0,0,
18,0,0,7,1,0,0,0,16,8,0,21,14,0,2,14,0,0,10,0,16,0,
19,6,0,20,20,19,0,11,0,1,21,0,17,20,13,12,20,15,13,0,21,10,
0,6,14,18,0,10,14,10,0,4,14,17,0,2,12,5,17,6,15,6,0,10,
0,17,1,12,21,20,18,3,9,11,0,20,2,0,2,0,0,16,10,0,9,15,
0,4,15,0,15,17,14,14,0,10,2,13,12,2,0,0,11,5,0,0,14,7,
6,17,6,6,0,20,8,2,0,15,14,12,5,0,0,0,3,3,20,13,12,9,
21,13,0,5,3,4,12,20,20,0,0,20,17,0,11,3,0,0,13,8,18,0,
17,17,16,14,16,1,0,15,0,10,0,15,6,16,5,3,0,0,2,0,0,19,
20,8,2,6,20,0,15,0,17,3,10,13,15,10,0,20,13,2,0,4,15,7,
0,0,18,1,0,19,0,20,0,12,0,0,6,0,0,13,8,0,4,0,12,0,
4,14,0,11,3,10,4,1,2,0,16,21,0,9,14,12,18,0,15,12,0,15,
0,3,9,9,13,0,17,14,16,0,0,10,10,15,7,9,0,19,7,0,15,0,
