0,9,0,30,20,23,0,34,2,37,18,7,37,12,26,45,0,32,28,32,30,14,28,18,14,33,9,17,0,39,29,14,39,37,0,44,29,41,0,31,31,16,0,0,0,30,0,
9,0,17,35,0,30,43,16,37,36,40,0,30,0,5,33,14,30,34,10,17,14,45,0,40,26,42,7,6,21,2,5,17,11,42,36,32,25,0,1,38,0,0,0,37,2,26,
0,17,0,29,0,30,27,35,0,25,5,27,11,0,5,0,0,16,15,36,0,34,30,6,27,37,33,10,0,0,44,33,45,0,16,16,41,13,40,3,19,0,41,5,30,4,11,
30,35,29,0,23,11,21,0,0,39,16,0,0,32,36,18,0,25,37,0,34,35,27,0,41,0,31,0,0,0,28,0,25,19,0,40,28,42,0,19,20,27,34,44,0,0,0,
20,0,0,23,0,10,44,8,11,12,0,32,2,30,0,0,7,27,5,36,3,5,0,0,16,0,0,45,11,34,0,45,40,10,32,0,46,15,33,38,40,45,19,0,0,44,2,
23,30,30,11,10,0,0,28,35,46,18,0,27,0,25,0,10,0,0,20,38,44,9,1,7,34,0,12,37,31,0,29,0,0,4,0,0,0,13,18,33,0,46,0,45,0,6,
0,43,27,21,44,0,0,5,28,10,43,44,0,6,14,38,6,24,22,0,0,21,0,0,20,0,44,0,7,0,14,0,3,42,18,14,30,31,2,0,12,5,1,12,0,0,0,
34,16,35,0,8,28,5,0,21,28,19,3,12,0,18,27,43,30,27,24,0,24,37,10,6,44,0,7,4,0,5,19,12,46,42,15,46,3,37,0,9,0,7,44,0,15,36,
2,37,0,0,11,35,28,21,0,40,0,0,0,7,19,0,46,32,20,42,12,8,0,6,27,21,0,27,0,43,15,41,7,30,0,10,29,43,0,46,7,32,27,0,5,39,16,
37,36,25,39,12,46,10,28,40,0,5,0,0,30,11,32,45,0,0,17,0,29,25,29,12,16,0,38,0,0,19,3,0,26,5,0,43,0,18,30,10,0,16,0,45,2,37,
18,40,5,16,0,18,43,19,0,5,0,18,0,0,0,9,17,27,2,37,0,6,1,0,22,13,5,3,0,0,0,0,44,40,42,9,36,0,6,0,37,8,5,35,34,0,0,
7,0,27,0,32,0,44,3,0,0,18,0,0,0,16,4,21,12,7,5,2,12,19,15,16,46,18,27,37,27,5,37,9,14,4,15,30,2,32,6,39,0,34,0,21,4,40,
37,30,11,0,2,27,0,12,0,0,0,0,0,0,0,42,0,31,25,11,18,0,10,1,5,15,21,2,0,0,7,0,0,0,33,0,21,19,25,14,33,38,21,37,0,20,37,
12,0,0,32,30,0,6,0,7,30,0,0,0,0,19,22,33,43,15,11,36,6,0,0,16,28,45,0,27,43,29,0,12,15,30,44,29,0,2,0,0,0,0,24,6,0,33,
26,5,5,36,0,25,14,18,19,11,0,16,0,19,0,20,43,6,37,19,28,43,0,40,15,11,15,43,25,0,38,10,30,0,27,25,0,8,15,0,30,17,0,0,0,10,30,
45,33,0,18,0,0,38,27,0,32,9,4,42,22,20,0,0,12,45,0,9,1,0,30,30,21,3,34,43,41,0,7,0,1,39,14,13,20,2,20,9,4,0,5,10,23,22,
0,14,0,0,7,10,6,43,46,45,17,21,0,33,43,0,0,17,0,0,30,0,45,29,13,1,3,1,32,44,18,10,6,44,43,20,31,6,7,0,10,41,9,0,10,18,0,
32,30,16,25,27,0,24,30,32,0,27,12,31,43,6,12,17,0,14,0,0,3,0,43,10,10,0,40,38,34,0,36,0,34,7,23,30,42,0,8,33,26,24,0,0,46,0,
28,34,15,37,5,0,22,27,20,0,2,7,25,15,37,45,0,14,0,14,0,0,0,30,7,13,29,6,26,12,25,36,10,16,0,0,0,0,28,38,41,9,0,29,22,26,39,
32,10,36,0,36,20,0,24,42,17,37,5,11,11,19,0,0,0,14,0,21,13,24,36,42,0,7,12,15,17,35,11,16,7,22,34,24,2,0,5,0,14,14,32,34,11,28,
30,17,0,34,3,38,0,0,12,0,0,2,18,36,28,9,30,0,0,21,0,30,23,15,9,7,0,9,2,0,44,1,6,20,24,0,44,4,0,22,0,40,0,7,0,0,0,
14,14,34,35,5,44,21,24,8,29,6,12,0,6,43,1,0,3,0,13,30,0,0,28,11,35,0,0,1,6,0,30,23,0,34,0,1,5,22,38,6,38,0,33,20,28,0,
28,45,30,27,0,9,0,37,0,25,1,19,10,0,0,0,45,0,0,24,23,0,0,12,14,4,13,0,0,5,4,15,25,21,45,0,2,22,1,43,38,10,12,1,42,19,28,
