0,0,0,35,8,8,26,16,0,15,6,0,25,0,0,0,0,0,16,0,24,31,20,31,6,14,25,0,32,30,0,32,0,7,16,0,26,38,35,
0,0,30,8,22,0,0,9,21,36,0,0,38,0,0,34,33,35,5,0,18,22,0,17,33,0,33,34,21,0,0,37,36,0,31,0,25,21,14,
0,30,0,16,13,0,0,31,3,0,13,33,24,18,0,0,37,26,0,7,34,1,31,12,0,10,0,24,0,0,0,2,38,0,13,2,29,28,13,
35,8,16,0,12,0,11,4,2,20,15,21,0,16,4,0,0,0,37,29,0,18,0,7,0,0,28,8,14,37,0,27,15,14,0,0,23,8,0,
8,22,13,12,0,6,31,31,0,0,31,0,35,0,2,0,38,33,34,10,24,27,3,0,0,28,0,33,0,8,28,32,12,34,10,0,0,31,19,
8,0,0,0,6,0,14,3,3,0,30,16,0,0,3,36,4,11,0,7,3,25,15,22,0,0,36,6,0,35,22,0,11,0,25,38,13,11,10,
26,0,0,11,31,14,0,7,14,29,30,22,0,0,34,17,1,0,30,16,0,0,12,14,0,0,37,4,0,37,0,25,0,28,0,2,8,17,31,
16,9,31,4,31,3,7,0,18,0,0,8,0,31,0,0,0,17,22,0,1,28,3,17,1,35,6,36,0,23,6,37,0,0,15,0,35,13,27,
0,21,3,2,0,3,14,18,0,21,0,0,24,0,0,25,0,33,0,0,0,7,0,36,11,14,30,22,28,7,7,10,3,0,10,27,26,30,9,
15,36,0,20,0,0,29,0,21,0,36,3,27,37,17,0,14,22,27,0,11,0,18,16,19,0,0,34,26,13,0,1,38,21,26,0,33,0,9,
6,0,13,15,31,30,30,0,0,36,0,2,0,6,29,1,3,8,13,12,2,12,0,0,19,21,9,12,26,0,15,34,0,13,35,8,12,34,0,
0,0,33,21,0,16,22,8,0,3,2,0,10,18,0,28,0,4,33,14,12,10,28,0,18,22,18,30,0,36,23,21,12,0,13,12,10,9,36,
25,38,24,0,35,0,0,0,24,27,0,10,0,0,22,19,29,0,27,14,33,4,0,23,0,2,3,34,0,17,0,33,7,5,31,31,19,26,12,
0,0,18,16,0,0,0,31,0,37,6,18,0,0,17,0,0,12,38,0,24,10,10,37,15,0,25,0,34,1,3,0,33,3,31,18,0,0,22,
0,0,0,4,2,3,34,0,0,17,29,0,22,17,0,0,6,33,30,16,6,4,0,9,1,17,0,0,0,18,2,19,0,21,0,22,26,15,16,
0,34,0,0,0,36,17,0,25,0,1,28,19,0,0,0,5,0,35,2,31,29,22,17,35,5,16,31,29,16,0,0,24,1,22,0,20,30,0,
0,33,37,0,38,4,1,0,0,14,3,0,29,0,6,5,0,3,36,12,2,0,11,10,3,13,13,2,26,23,24,0,37,14,0,32,30,37,17,
0,35,26,0,33,11,0,17,33,22,8,4,0,12,33,0,3,0,14,31,32,0,17,31,17,4,37,20,28,0,1,34,0,33,6,0,2,14,0,
16,5,0,37,34,0,30,22,0,27,13,33,27,38,30,35,36,14,0,0,30,8,0,20,10,3,0,0,16,4,10,6,20,0,4,0,0,18,0,
0,0,7,29,10,7,16,0,0,0,12,14,14,0,16,2,12,31,0,0,31,3,0,5,15,24,6,4,0,10,0,0,12,25,18,22,17,18,9,
24,18,34,0,24,3,0,1,0,11,2,12,33,24,6,31,2,32,30,31,0,0,15,24,12,25,37,38,22,1,0,17,0,11,6,5,37,0,8,
31,22,1,18,27,25,0,28,7,0,12,10,4,10,4,29,0,0,8,3,0,0,7,0,0,11,28,13,27,0,23,0,5,7,0,1,0,16,0,
20,0,31,0,3,15,12,3,0,18,0,28,0,10,0,22,11,17,0,0,15,7,0,7,14,0,30,11,34,38,38,0,33,0,0,16,12,11,6,
31,17,12,7,0,22,14,17,36,16,0,0,23,37,9,17,10,31,20,5,24,0,7,0,0,0,27,0,0,0,0,16,5,5,0,33,9,25,23,
6,33,0,0,0,0,0,1,11,19,19,18,0,15,1,35,3,17,10,15,12,0,14,0,0,30,0,24,20,2,17,4,3,11,5,37,19,38,0,
14,0,10,0,28,0,0,35,14,0,21,22,2,0,17,5,13,4,3,24,25,11,0,0,30,0,0,17,37,11,34,15,32,20,34,11,0,0,33,
25,33,0,28,0,36,37,6,30,0,9,18,3,25,0,16,13,37,0,6,37,28,30,27,0,0,0,0,35,10,24,1,30,16,17,24,2,9,32,
0,34,24,8,33,6,4,36,22,34,12,30,34,0,0,31,2,20,0,4,38,13,11,0,24,17,0,0,27,0,13,32,16,37,26,0,0,0,16,
32,21,0,14,0,0,0,0,28,26,26,0,0,34,0,29,26,28,16,0,22,27,34,0,20,37,35,27,0,0,11,6,16,38,34,29,0,0,32,
30,0,0,37,8,35,37,23,7,13,0,36,17,1,18,16,23,0,4,10,1,0,38,0,2,11,10,0,0,0,29,23,33,0,0,0,13,27,0,
