0,12,0,5,4,28,14,14,29,0,18,0,9,27,0,29,24,14,17,4,21,0,13,12,0,0,22,28,25,12,
12,0,22,29,2,1,14,0,13,0,2,1,0,3,0,27,0,0,0,7,26,7,11,4,24,0,0,2,0,9,
0,22,0,28,20,5,14,0,13,1,2,16,1,0,27,0,22,29,0,0,1,29,0,18,7,21,1,6,17,13,
5,29,28,0,16,19,0,3,11,18,11,23,27,21,11,0,0,15,21,21,4,7,7,8,0,20,0,16,17,9,
4,2,20,16,0,10,0,26,12,10,25,0,22,0,16,12,0,8,14,22,7,14,0,1,19,4,0,23,15,9,
28,1,5,19,10,0,12,21,4,20,24,24,0,26,20,22,27,26,1,0,16,0,18,8,28,0,15,24,17,1,
14,14,14,0,0,12,0,0,0,11,0,11,12,22,29,8,27,12,0,12,0,26,9,21,0,6,0,20,18,14,
14,0,0,3,26,21,0,0,27,0,13,0,22,8,29,28,17,28,28,4,0,17,25,0,8,22,0,7,20,0,
29,13,13,11,12,4,0,27,0,5,11,15,0,16,5,15,27,0,6,0,14,17,1,0,0,3,11,5,1,2,
0,0,1,18,10,20,11,0,5,0,13,0,0,0,13,13,24,8,0,0,0,22,0,21,7,0,26,12,9,1,
18,2,2,11,25,24,0,13,11,13,0,10,0,8,22,21,0,26,15,16,16,15,9,7,28,0,24,10,0,23,
0,1,16,23,0,24,11,0,15,0,10,0,5,0,25,14,23,6,7,0,9,6,25,8,25,0,0,0,0,3,
9,0,1,27,22,0,12,22,0,0,0,5,0,0,27,0,16,7,22,18,15,0,3,28,18,14,26,6,23,11,
27,3,0,21,0,26,22,8,16,0,8,0,0,0,23,29,0,25,0,13,18,3,0,0,0,0,15,16,0,1,
0,0,27,11,16,20,29,29,5,13,22,25,27,23,0,14,18,13,12,24,0,21,19,0,16,0,0,24,20,0,
29,27,0,0,12,22,8,28,15,13,21,14,0,29,14,0,0,8,0,9,27,0,18,21,28,25,4,26,0,18,
24,0,22,0,0,27,27,17,27,24,0,23,16,0,18,0,0,26,4,5,0,0,26,0,0,26,25,28,12,16,
14,0,29,15,8,26,12,28,0,8,26,6,7,25,13,8,26,0,8,0,0,28,0,20,12,5,14,1,0,15,
17,0,0,21,14,1,0,28,6,0,15,7,22,0,12,0,4,8,0,28,21,14,2,0,5,5,0,0,5,19,
4,7,0,21,22,0,12,4,0,0,16,0,18,13,24,9,5,0,28,0,3,0,0,21,22,8,27,0,24,0,
21,26,1,4,7,16,0,0,14,0,16,9,15,18,0,27,0,0,21,3,0,6,0,29,5,0,3,27,25,0,
0,7,29,7,14,0,26,17,17,22,15,6,0,3,21,0,0,28,14,0,6,0,22,1,24,2,21,21,22,15,
13,11,0,7,0,18,9,25,1,0,9,25,3,0,19,18,26,0,2,0,0,22,0,10,18,18,26,1,1,0,
12,4,18,8,1,8,21,0,0,21,7,8,28,0,0,21,0,20,0,21,29,1,10,0,20,24,7,5,20,11,
0,24,7,0,19,28,0,8,0,7,28,25,18,0,16,28,0,12,5,22,5,24,18,20,0,0,10,6,28,4,
0,0,21,20,4,0,6,22,3,0,0,0,14,0,0,25,26,5,5,8,0,2,18,24,0,0,17,17,21,17,
22,0,1,0,0,15,0,0,11,26,24,0,26,15,0,4,25,14,0,27,3,21,26,7,10,17,0,3,0,5,
28,2,6,16,23,24,20,7,5,12,10,0,6,16,24,26,28,1,0,0,27,21,1,5,6,17,3,0,0,0,
25,0,17,17,15,17,18,20,1,9,0,0,23,0,20,0,12,0,5,24,25,22,1,20,28,21,0,0,0,4,
12,9,13,9,9,1,14,0,2,1,23,3,11,1,0,18,16,15,19,0,0,15,0,11,4,17,5,0,4,0,
