0,0,0,32,0,5,13,14,24,1,0,11,2,29,13,30,0,0,26,0,9,0,31,25,20,4,0,24,21,14,5,28,11,0,31,
0,0,23,6,0,1,0,0,15,0,19,13,0,26,22,4,4,31,9,19,1,10,11,31,2,26,4,2,28,18,0,14,18,24,25,
0,23,0,21,0,14,0,22,5,0,0,25,0,29,19,0,0,0,1,21,20,0,33,16,31,0,22,9,9,12,27,13,2,0,0,
32,6,21,0,1,7,15,23,4,10,0,0,27,0,0,16,10,3,13,9,17,33,25,21,0,17,11,3,6,0,0,0,10,0,2,
0,0,0,1,0,28,0,1,0,0,26,0,13,0,15,1,0,17,32,32,0,0,9,19,0,2,17,5,5,20,21,0,7,0,19,
5,1,14,7,28,0,29,16,8,7,26,26,27,34,20,22,0,0,0,13,0,30,7,19,17,20,1,6,0,20,0,0,0,14,28,
13,0,0,15,0,29,0,0,25,0,25,29,16,14,4,11,21,0,2,9,21,9,8,27,13,0,0,27,14,0,8,2,30,6,0,
14,0,22,23,1,16,0,0,13,8,31,0,28,0,22,0,0,11,0,23,20,26,15,19,22,34,0,14,9,0,15,0,31,0,2,
24,15,5,4,0,8,25,13,0,30,17,32,0,0,7,11,2,2,29,9,5,32,15,15,0,0,26,12,6,17,18,23,0,4,24,
1,0,0,10,0,7,0,8,30,0,0,15,15,33,31,0,4,22,0,0,27,15,27,29,0,2,32,33,26,24,0,0,20,26,0,
0,19,0,0,26,26,25,31,17,0,0,17,25,0,32,19,0,8,34,1,3,29,7,24,8,10,25,0,9,0,31,16,18,25,22,
11,13,25,0,0,26,29,0,32,15,17,0,28,19,5,31,20,32,0,24,27,13,13,0,0,17,2,24,14,2,0,0,6,0,12,
2,0,0,27,13,27,16,28,0,15,25,28,0,11,0,14,0,18,3,12,0,30,24,1,12,0,15,0,0,15,17,7,9,6,22,
29,26,29,0,0,34,14,0,0,33,0,19,11,0,28,18,0,0,14,0,21,19,28,0,4,32,19,24,14,5,25,8,10,4,9,
13,22,19,0,15,20,4,22,7,31,32,5,0,28,0,6,1,23,13,13,17,14,16,15,0,0,0,1,0,15,9,9,7,17,0,
30,4,0,16,1,22,11,0,11,0,19,31,14,18,6,0,0,25,21,8,0,0,19,17,18,26,0,20,8,8,0,12,0,0,27,
0,4,0,10,0,0,21,0,2,4,0,20,0,0,1,0,0,6,27,21,0,10,18,19,9,27,0,21,25,0,23,19,0,8,12,
0,31,0,3,17,0,0,11,2,22,8,32,18,0,23,25,6,0,13,0,16,27,31,6,31,32,16,32,13,26,0,2,23,6,7,
26,9,1,13,32,0,2,0,29,0,34,0,3,14,13,21,27,13,0,3,14,11,0,9,0,12,22,22,23,6,0,27,21,0,12,
0,19,21,9,32,13,9,23,9,0,1,24,12,0,13,8,21,0,3,0,0,0,28,0,23,0,0,21,27,25,0,9,0,0,0,
9,1,20,17,0,0,21,20,5,27,3,27,0,21,17,0,0,16,14,0,0,0,5,0,34,29,6,0,18,14,16,5,0,4,5,
0,10,0,33,0,30,9,26,32,15,29,13,30,19,14,0,10,27,11,0,0,0,34,5,26,3,0,5,0,0,10,20,0,0,17,
31,11,33,25,9,7,8,15,15,27,7,13,24,28,16,19,18,31,0,28,5,34,0,11,17,4,4,0,0,4,0,28,15,9,19,
25,31,16,21,19,19,27,19,15,29,24,0,1,0,15,17,19,6,9,0,0,5,11,0,14,1,0,12,11,8,16,2,1,0,25,
20,2,31,0,0,17,13,22,0,0,8,0,12,4,0,18,9,31,0,23,34,26,17,14,0,10,4,0,26,19,12,6,7,0,0,
4,26,0,17,2,20,0,34,0,2,10,17,0,32,0,26,27,32,12,0,29,3,4,1,10,0,33,30,6,26,9,32,30,21,7,
0,4,22,11,17,1,0,0,26,32,25,2,15,19,0,0,0,16,22,0,6,0,4,0,4,33,0,7,7,0,0,0,0,0,13,
24,2,9,3,5,6,27,14,12,33,0,24,0,24,1,20,21,32,22,21,0,5,0,12,0,30,7,0,27,14,16,0,3,9,0,
21,28,9,6,5,0,14,9,6,26,9,14,0,14,0,8,25,13,23,27,18,0,0,11,26,6,7,27,0,25,13,16,23,25,34,
14,18,12,0,20,20,0,0,17,24,0,2,15,5,15,8,0,26,6,25,14,0,4,8,19,26,0,14,25,0,9,9,0,17,0,
5,0,27,0,21,0,8,15,18,0,31,0,17,25,9,0,23,0,0,0,16,10,0,16,12,9,0,16,13,9,0,1,31,7,0,
28,14,13,0,0,0,2,0,23,0,16,0,7,8,9,12,19,2,27,9,5,20,28,2,6,32,0,0,16,9,1,0,25,0,11,
11,18,2,10,7,0,30,31,0,20,18,6,9,10,7,0,0,23,21,0,0,0,15,1,7,30,0,3,23,0,31,25,0,25,7,
0,24,0,0,0,14,6,0,4,26,25,0,6,4,17,0,8,6,0,0,4,0,9,0,0,21,0,9,25,17,7,0,25,0,0,
31,25,0,2,19,28,0,2,24,0,22,12,22,9,0,27,12,7,12,0,5,17,19,25,0,7,13,0,34,0,0,11,7,0,0,
