0,0,9,0,8,1,9,11,24,0,22,12,0,20,18,22,11,1,15,1,9,12,20,4,0,5,0,23,17,
0,0,0,0,13,10,5,4,14,0,17,18,0,22,4,19,12,9,0,16,27,28,10,27,2,0,14,12,0,
9,0,0,19,14,10,0,5,8,28,7,16,17,12,0,23,0,13,0,0,10,23,7,0,9,2,0,17,23,
0,0,19,0,24,22,7,7,0,21,13,12,9,17,13,4,17,11,1,11,18,20,20,1,11,15,27,10,27,
8,13,14,24,0,23,13,25,0,19,8,12,27,24,12,14,10,8,27,22,24,7,14,18,18,17,26,0,16,
1,10,10,22,23,0,12,21,6,0,27,1,0,2,15,3,25,0,21,17,0,21,23,11,17,10,0,27,8,
9,5,0,7,13,12,0,23,18,22,16,0,3,17,12,0,24,3,0,0,17,6,4,20,12,14,0,24,0,
11,4,5,7,25,21,23,0,10,18,4,16,23,0,11,25,25,1,25,2,15,20,26,18,5,0,0,0,1,
24,14,8,0,0,6,18,10,0,25,16,26,1,0,0,26,21,17,21,27,18,27,27,0,7,18,0,0,5,
0,0,28,21,19,0,22,18,25,0,21,7,7,9,0,0,19,0,0,4,0,0,0,0,5,10,21,0,6,
22,17,7,13,8,27,16,4,16,21,0,0,10,12,23,0,6,11,0,14,15,0,13,0,1,0,0,1,19,
12,18,16,12,12,1,0,16,26,7,0,0,0,15,13,28,0,7,25,8,0,0,2,21,0,4,3,16,6,
0,0,17,9,27,0,3,23,1,7,10,0,0,11,24,0,0,23,0,14,2,0,0,0,1,8,1,0,20,
20,22,12,17,24,2,17,0,0,9,12,15,11,0,9,0,15,28,2,0,7,5,17,16,23,23,25,21,12,
18,4,0,13,12,15,12,11,0,0,23,13,24,9,0,22,12,16,25,0,0,5,0,0,0,0,24,0,0,
22,19,23,4,14,3,0,25,26,0,0,28,0,0,22,0,28,26,1,8,28,10,18,8,5,4,23,25,28,
11,12,0,17,10,25,24,25,21,19,6,0,0,15,12,28,0,4,3,0,18,6,23,6,15,24,1,0,27,
1,9,13,11,8,0,3,1,17,0,11,7,23,28,16,26,4,0,2,0,20,3,1,17,7,0,0,19,0,
15,0,0,1,27,21,0,25,21,0,0,25,0,2,25,1,3,2,0,20,0,17,0,27,14,0,8,19,0,
1,16,0,11,22,17,0,2,27,4,14,8,14,0,0,8,0,0,20,0,0,5,22,8,12,0,12,0,0,
9,27,10,18,24,0,17,15,18,0,15,0,2,7,0,28,18,20,0,0,0,25,3,3,24,3,25,15,13,
12,28,23,20,7,21,6,20,27,0,0,0,0,5,5,10,6,3,17,5,25,0,0,20,0,3,28,0,11,
20,10,7,20,14,23,4,26,27,0,13,2,0,17,0,18,23,1,0,22,3,0,0,14,0,15,8,10,22,
4,27,0,1,18,11,20,18,0,0,0,21,0,16,0,8,6,17,27,8,3,20,14,0,3,6,15,18,6,
0,2,9,11,18,17,12,5,7,5,1,0,1,23,0,5,15,7,14,12,24,0,0,3,0,0,7,25,24,
5,0,2,15,17,10,14,0,18,10,0,4,8,23,0,4,24,0,0,0,3,3,15,6,0,0,3,0,0,
0,14,0,27,26,0,0,0,0,21,0,3,1,25,24,23,1,0,8,12,25,28,8,15,7,3,0,2,10,
23,12,17,10,0,27,24,0,0,0,1,16,0,21,0,25,0,19,19,0,15,0,10,18,25,0,2,0,8,
17,0,23,27,16,8,0,1,5,6,19,6,20,12,0,28,27,0,0,0,13,11,22,6,24,0,10,8,0,
