0,17,13,24,9,21,14,0,1,20,15,0,28,26,13,18,7,19,0,18,0,7,26,20,10,0,0,8,1,27,18,31,
17,0,20,10,27,5,0,20,16,1,24,0,15,9,10,24,0,5,16,0,6,0,0,0,1,0,13,30,20,28,8,31,
13,20,0,0,10,1,18,21,0,14,0,26,26,1,11,2,15,0,0,29,0,6,10,0,1,24,19,0,2,0,0,18,
24,10,0,0,28,0,0,6,0,6,3,8,28,21,4,0,0,30,28,4,18,0,2,1,14,2,17,0,2,17,0,0,
9,27,10,28,0,9,12,0,6,10,31,0,0,31,0,7,0,19,25,31,3,15,0,21,0,19,0,20,28,0,25,10,
21,5,1,0,9,0,26,12,30,0,26,26,13,0,10,29,7,26,15,26,6,27,0,0,0,18,27,0,6,0,2,24,
14,0,18,0,12,26,0,0,0,24,5,24,15,5,0,28,0,31,26,5,0,0,16,0,31,0,0,0,0,13,0,0,
0,20,21,6,0,12,0,0,24,23,0,28,0,30,0,24,0,5,0,19,8,0,31,31,3,14,1,0,31,0,27,31,
1,16,0,0,6,30,0,24,0,12,14,0,27,6,1,0,6,14,16,21,27,0,0,0,1,31,0,30,12,4,14,0,
20,1,14,6,10,0,24,23,12,0,24,6,0,13,0,14,0,26,31,13,23,19,0,0,15,0,2,11,11,6,20,21,
15,24,0,3,31,26,5,0,14,24,0,29,0,26,24,5,4,0,0,29,13,8,0,21,24,29,0,0,0,15,12,14,
0,0,26,8,0,26,24,28,0,6,29,0,9,27,0,16,9,9,18,28,13,22,6,13,25,7,0,0,19,0,3,1,
28,15,26,28,0,13,15,0,27,0,0,9,0,0,15,28,0,5,21,0,0,27,18,6,0,11,20,20,16,13,16,12,
26,9,1,21,31,0,5,30,6,13,26,27,0,0,11,23,11,13,13,0,2,26,0,16,0,4,11,13,20,1,0,0,
13,10,11,4,0,10,0,0,1,0,24,0,15,11,0,26,30,0,24,0,0,16,22,21,0,29,0,0,20,8,28,21,
18,24,2,0,7,29,28,24,0,14,5,16,28,23,26,0,26,6,18,0,18,0,0,11,31,25,6,11,19,30,4,5,
7,0,15,0,0,7,0,0,6,0,4,9,0,11,30,26,0,10,11,4,26,0,29,16,0,12,15,21,23,0,4,6,
19,5,0,30,19,26,31,5,14,26,0,9,5,13,0,6,10,0,16,8,13,10,0,27,0,10,0,25,4,21,22,4,
0,16,0,28,25,15,26,0,16,31,0,18,21,13,24,18,11,16,0,16,2,0,1,15,31,8,0,0,30,1,23,18,
18,0,29,4,31,26,5,19,21,13,29,28,0,0,0,0,4,8,16,0,5,5,31,0,0,20,24,0,13,4,0,18,
0,6,0,18,3,6,0,8,27,23,13,13,0,2,0,18,26,13,2,5,0,14,25,6,29,0,0,0,12,0,14,17,
7,0,6,0,15,27,0,0,0,19,8,22,27,26,16,0,0,10,0,5,14,0,16,13,11,6,26,3,21,4,23,5,
26,0,10,2,0,0,16,31,0,0,0,6,18,0,22,0,29,0,1,31,25,16,0,16,0,11,23,0,22,29,10,0,
20,0,0,1,21,0,0,31,0,0,21,13,6,16,21,11,16,27,15,0,6,13,16,0,23,10,0,0,27,31,0,16,
10,1,1,14,0,0,31,3,1,15,24,25,0,0,0,31,0,0,31,0,29,11,0,23,0,0,3,19,26,31,23,16,
0,0,24,2,19,18,0,14,31,0,29,7,11,4,29,25,12,10,8,20,0,6,11,10,0,0,0,19,0,14,19,14,
0,13,19,17,0,27,0,1,0,2,0,0,20,11,0,6,15,0,0,24,0,26,23,0,3,0,0,0,0,0,29,30,
8,30,0,0,20,0,0,0,30,11,0,0,20,13,0,11,21,25,0,0,0,3,0,0,19,19,0,0,30,22,0,0,
1,20,2,2,28,6,0,31,12,11,0,19,16,20,20,19,23,4,30,13,12,21,22,27,26,0,0,30,0,0,26,3,
27,28,0,17,0,0,13,0,4,6,15,0,13,1,8,30,0,21,1,4,0,4,29,31,31,14,0,22,0,0,23,0,
18,8,0,0,25,2,0,27,14,20,12,3,16,0,28,4,4,22,23,0,14,23,10,0,23,19,29,0,26,23,0,0,
31,31,18,0,10,24,0,31,0,21,14,1,12,0,21,5,6,4,18,18,17,5,0,16,16,14,30,0,3,0,0,0,
