0,18,19,0,11,0,6,15,0,18,0,0,0,4,12,2,0,8,0,3,0,
18,0,3,16,9,15,20,4,20,0,0,15,0,0,9,4,12,11,0,1,3,
19,3,0,0,7,19,19,7,17,0,0,10,0,16,0,0,5,20,8,13,0,
0,16,0,0,0,17,5,9,19,18,18,11,11,10,16,14,11,5,8,0,14,
11,9,7,0,0,4,0,2,0,0,0,20,2,11,10,5,9,13,0,0,11,
0,15,19,17,4,0,1,16,3,9,0,2,19,0,16,0,0,15,1,19,14,
6,20,19,5,0,1,0,17,12,1,2,0,0,15,9,0,0,0,11,5,19,
15,4,7,9,2,16,17,0,14,6,9,3,0,17,0,12,9,0,13,9,18,
0,20,17,19,0,3,12,14,0,7,16,19,7,0,5,13,19,16,0,4,5,
18,0,0,18,0,9,1,6,7,0,0,5,0,12,18,1,0,17,15,7,19,
0,0,0,18,0,0,2,9,16,0,0,4,0,1,15,0,17,9,17,0,10,
0,15,10,11,20,2,0,3,19,5,4,0,0,1,19,6,2,16,0,16,3,
0,0,0,11,2,19,0,0,7,0,0,0,0,5,0,18,9,20,14,5,19,
4,0,16,10,11,0,15,17,0,12,1,1,5,0,4,15,0,0,14,8,0,
12,9,0,16,10,16,9,0,5,18,15,19,0,4,0,16,16,19,0,20,0,
2,4,0,14,5,0,0,12,13,1,0,6,18,15,16,0,5,11,16,1,0,
0,12,5,11,9,0,0,9,19,0,17,2,9,0,16,5,0,18,7,9,8,
8,11,20,5,13,15,0,0,16,17,9,16,20,0,19,11,18,0,19,0,0,
0,0,8,8,0,1,11,13,0,15,17,0,14,14,0,16,7,19,0,15,2,
3,1,13,0,0,19,5,9,4,7,0,16,5,8,20,1,9,0,15,0,0,
0,3,0,14,11,14,19,18,5,19,10,3,19,0,0,0,8,0,2,0,0,
