0,6,4,0,0,0,2,4,0,21,6,0,24,0,0,17,24,0,22,26,0,0,29,26,0,25,14,15,3,0,0,13,0,
6,0,0,31,8,1,25,0,14,30,0,22,32,6,13,29,0,22,10,0,14,8,15,17,24,0,3,23,7,18,5,6,2,
4,0,0,1,1,10,0,5,0,15,0,0,29,12,14,31,0,27,7,0,22,29,13,30,23,2,0,22,0,8,22,15,10,
0,31,1,0,29,8,4,12,25,14,7,0,0,17,24,0,10,10,0,30,25,20,0,9,23,21,6,10,24,12,28,2,0,
0,8,1,29,0,1,7,8,16,3,6,6,21,26,3,28,22,0,0,19,28,0,14,27,3,29,5,0,0,21,0,7,0,
0,1,10,8,1,0,4,22,24,7,11,24,0,27,0,6,28,30,24,29,0,0,31,6,30,15,14,1,32,25,3,10,0,
2,25,0,4,7,4,0,16,0,31,6,20,11,2,1,17,0,17,0,25,1,16,21,13,15,19,10,25,22,0,8,2,30,
4,0,5,12,8,22,16,0,0,0,4,14,9,31,4,15,0,24,26,0,0,4,27,10,9,22,0,18,8,18,0,0,28,
0,14,0,25,16,24,0,0,0,0,10,13,19,24,19,0,32,22,7,0,0,15,19,7,31,0,0,11,23,29,31,11,17,
21,30,15,14,3,7,31,0,0,0,0,31,14,7,25,14,8,15,20,15,22,0,28,21,24,0,0,24,5,4,15,5,0,
6,0,0,7,6,11,6,4,10,0,0,30,1,29,27,0,20,20,17,13,0,0,0,0,7,32,0,22,18,0,8,1,1,
0,22,0,0,6,24,20,14,13,31,30,0,5,31,0,23,30,0,17,9,18,29,0,31,11,24,20,11,5,0,1,2,0,
24,32,29,0,21,0,11,9,19,14,1,5,0,8,0,19,15,26,32,0,6,12,31,18,15,0,9,10,8,0,0,10,13,
0,6,12,17,26,27,2,31,24,7,29,31,8,0,0,1,0,10,0,2,21,14,12,28,0,0,20,0,6,0,22,15,18,
0,13,14,24,3,0,1,4,19,25,27,0,0,0,0,4,13,0,29,18,0,26,2,29,9,25,0,11,6,30,5,20,17,
17,29,31,0,28,6,17,15,0,14,0,23,19,1,4,0,14,25,26,11,0,11,9,29,0,24,18,28,0,0,19,26,24,
24,0,0,10,22,28,0,0,32,8,20,30,15,0,13,14,0,19,18,0,24,22,0,0,19,18,32,31,19,27,29,2,0,
0,22,27,10,0,30,17,24,22,15,20,0,26,10,0,25,19,0,22,29,17,16,17,27,24,0,31,0,23,10,0,31,12,
22,10,7,0,0,24,0,26,7,20,17,17,32,0,29,26,18,22,0,5,20,0,7,21,21,27,0,30,30,29,0,0,11,
26,0,0,30,19,29,25,0,0,15,13,9,0,2,18,11,0,29,5,0,0,0,0,9,18,24,7,0,0,17,0,21,12,
0,14,22,25,28,0,1,0,0,22,0,18,6,21,0,0,24,17,20,0,0,0,7,16,21,30,14,7,0,17,22,19,8,
0,8,29,20,0,0,16,4,15,0,0,29,12,14,26,11,22,16,0,0,0,0,32,31,0,30,10,12,31,12,19,32,3,
29,15,13,0,14,31,21,27,19,28,0,0,31,12,2,9,0,17,7,0,7,32,0,0,26,0,29,27,26,0,21,21,0,
26,17,30,9,27,6,13,10,7,21,0,31,18,28,29,29,0,27,21,9,16,31,0,0,27,0,25,7,23,0,0,12,22,
0,24,23,23,3,30,15,9,31,24,7,11,15,0,9,0,19,24,21,18,21,0,26,27,0,20,0,0,26,15,22,24,15,
25,0,2,21,29,15,19,22,0,0,32,24,0,0,25,24,18,0,27,24,30,30,0,0,20,0,2,23,0,13,0,6,17,
14,3,0,6,5,14,10,0,0,0,0,20,9,20,0,18,32,31,0,7,14,10,29,25,0,2,0,27,23,5,32,10,0,
15,23,22,10,0,1,25,18,11,24,22,11,10,0,11,28,31,0,30,0,7,12,27,7,0,23,27,0,0,0,0,10,0,
3,7,0,24,0,32,22,8,23,5,18,5,8,6,6,0,19,23,30,0,0,31,26,23,26,0,23,0,0,18,0,15,20,
0,18,8,12,21,25,0,18,29,4,0,0,0,0,30,0,27,10,29,17,17,12,0,0,15,13,5,0,18,0,29,0,30,
0,5,22,28,0,3,8,0,31,15,8,1,0,22,5,19,29,0,0,0,22,19,21,0,22,0,32,0,0,29,0,24,0,
13,6,15,2,7,10,2,0,11,5,1,2,10,15,20,26,2,31,0,21,19,32,21,12,24,6,10,10,15,0,24,0,6,
0,2,10,0,0,0,30,28,17,0,1,0,13,18,17,24,0,12,11,12,8,3,0,22,15,17,0,0,20,30,0,6,0,
