0,24,10,35,18,24,0,2,0,11,11,0,0,40,37,10,0,48,0,2,0,41,16,40,16,5,8,17,30,41,0,16,30,22,6,40,0,41,0,0,46,47,38,35,9,3,28,44,18,
24,0,32,24,0,41,48,22,17,38,37,39,40,0,6,32,29,13,32,0,0,41,0,0,18,30,43,18,6,0,29,17,35,1,22,0,23,0,15,0,1,40,0,27,0,24,41,44,21,
10,32,0,13,0,45,30,42,42,43,13,17,37,26,0,14,45,0,37,25,35,7,0,21,30,17,18,28,0,17,17,26,11,0,18,5,45,33,47,36,0,17,45,9,3,35,9,41,33,
35,24,13,0,40,23,22,16,48,31,44,0,0,42,8,32,40,43,18,20,27,35,0,1,44,0,9,24,31,0,0,12,0,26,13,0,0,9,0,29,0,0,20,0,0,0,48,36,42,
18,0,0,40,0,0,3,21,39,0,0,0,40,0,0,32,4,36,8,40,15,35,29,38,37,44,2,0,25,21,26,14,0,20,6,31,0,34,21,2,26,39,28,35,1,7,0,0,0,
24,41,45,23,0,0,0,12,18,37,3,10,46,22,20,19,0,0,46,0,0,30,14,34,21,0,43,44,32,0,0,42,0,3,46,16,0,0,12,47,35,42,45,37,24,18,12,48,3,
0,48,30,22,3,0,0,34,30,37,0,31,0,0,11,0,0,28,0,6,10,28,0,27,28,31,0,0,44,26,6,34,0,0,35,0,0,24,42,0,0,2,23,3,0,16,13,0,0,
2,22,42,16,21,12,34,0,10,0,27,15,35,0,0,38,39,33,0,13,27,2,46,13,22,0,34,45,0,26,46,7,9,0,0,4,25,8,21,8,21,31,27,17,47,20,36,39,37,
0,17,42,48,39,18,30,10,0,26,0,45,21,37,38,16,34,47,0,36,28,0,0,31,9,41,32,27,8,0,41,41,18,48,42,0,0,40,4,24,41,0,0,6,0,43,12,28,0,
11,38,43,31,0,37,37,0,26,0,30,14,3,45,24,43,24,45,0,29,18,2,28,7,0,38,0,37,39,28,0,37,27,39,29,12,31,10,45,20,16,1,22,21,34,37,22,43,37,
11,37,13,44,0,3,0,27,0,30,0,3,36,31,17,8,13,46,37,0,0,0,33,0,37,19,48,13,35,42,10,0,16,10,43,44,11,0,19,36,11,32,30,13,30,29,25,35,0,
0,39,17,0,0,10,31,15,45,14,3,0,5,38,0,23,1,17,8,45,0,0,1,37,15,26,0,47,0,47,0,23,0,0,29,36,4,31,45,0,34,47,38,42,25,0,41,46,0,
0,40,37,0,40,46,0,35,21,3,36,5,0,40,22,33,0,9,0,33,6,35,4,29,0,45,0,0,25,24,32,12,7,6,26,3,37,42,9,1,28,41,7,0,0,0,41,0,11,
40,0,26,42,0,22,0,0,37,45,31,38,40,0,11,46,48,12,41,0,11,23,4,4,44,0,36,0,8,42,17,13,13,0,6,42,17,0,0,16,0,43,14,36,0,46,24,39,28,
37,6,0,8,0,20,11,0,38,24,17,0,22,11,0,34,44,23,0,0,5,0,46,46,9,31,2,31,42,8,0,0,0,0,19,46,0,3,34,10,15,17,8,37,12,38,5,23,0,
10,32,14,32,32,19,0,38,16,43,8,23,33,46,34,0,23,33,36,0,14,0,0,14,11,20,17,26,0,0,0,36,38,24,9,48,4,43,2,37,39,15,19,15,2,45,0,32,33,
0,29,45,40,4,0,0,39,34,24,13,1,0,48,44,23,0,45,15,21,17,11,28,38,0,35,0,21,41,0,35,0,18,10,4,43,32,38,14,0,17,47,0,44,0,26,1,33,12,
48,13,0,43,36,0,28,33,47,45,46,17,9,12,23,33,45,0,8,0,23,0,25,41,10,9,0,0,7,45,0,29,8,0,18,33,7,42,28,0,0,2,7,5,19,12,28,12,43,
0,32,37,18,8,46,0,0,0,0,37,8,0,41,0,36,15,8,0,42,19,0,0,0,11,39,6,5,0,23,0,0,32,13,47,0,13,2,20,13,0,0,42,1,28,43,29,28,35,
2,0,25,20,40,0,6,13,36,29,0,45,33,0,0,0,21,0,42,0,0,0,22,25,0,15,2,18,5,24,47,44,0,39,25,38,6,0,34,0,24,2,16,45,0,48,28,0,28,
0,0,35,27,15,0,10,27,28,18,0,0,6,11,5,14,17,23,19,0,0,8,0,24,34,10,25,31,36,46,33,34,0,15,10,21,26,16,45,8,0,1,0,9,28,26,0,0,43,
41,41,7,35,35,30,28,2,0,2,0,0,35,23,0,0,11,0,0,0,8,0,0,39,4,21,11,42,18,38,0,3,23,40,7,16,0,0,6,18,39,25,0,29,25,0,0,0,42,
16,0,0,0,29,14,0,46,0,28,33,1,4,4,46,0,28,25,0,22,0,0,0,0,23,46,0,11,40,0,0,0,0,37,22,38,0,23,28,22,0,34,8,16,27,27,30,34,8,
40,0,21,1,38,34,27,13,31,7,0,37,29,4,46,14,38,41,0,25,24,39,0,0,0,32,39,19,25,47,4,0,38,0,22,0,31,42,19,16,34,47,12,5,33,34,0,0,33,
16,18,30,44,37,21,28,22,9,0,37,15,0,44,9,11,0,10,11,0,34,4,23,0,0,11,0,0,28,41,36,3,19,37,0,12,36,4,41,0,14,0,0,26,31,42,0,0,38,
5,30,17,0,44,0,31,0,41,38,19,26,45,0,31,20,35,9,39,15,10,21,46,32,11,0,0,0,0,3,6,0,0,5,12,24,10,36,8,26,44,40,0,48,17,0,13,0,27,
8,43,18,9,2,43,0,34,32,0,48,0,0,36,2,17,0,0,6,2,25,11,0,39,0,0,0,8,35,27,42,44,0,0,20,44,30,0,0,0,32,24,0,0,30,0,15,9,0,
17,18,28,24,0,44,0,45,27,37,13,47,0,0,31,26,21,0,5,18,31,42,11,19,0,0,8,0,47,5,0,19,33,19,0,0,15,0,0,45,0,1,21,44,36,36,19,10,0,
30,6,0,31,25,32,44,0,8,39,35,0,25,8,42,0,41,7,0,5,36,18,40,25,28,0,35,47,0,0,25,0,45,12,29,10,6,14,20,41,27,17,34,0,0,43,44,0,28,
41,0,17,0,21,0,26,26,0,28,42,47,24,42,8,0,0,45,23,24,46,38,0,47,41,3,27,5,0,0,17,0,0,5,41,0,47,14,0,16,0,46,48,15,35,33,0,46,30,
0,29,17,0,26,0,6,46,41,0,10,0,32,17,0,0,35,0,0,47,33,0,0,4,36,6,42,0,25,17,0,25,16,0,39,0,0,8,47,0,12,33,45,13,42,3,38,47,21,
16,17,26,12,14,42,34,7,41,37,0,23,12,13,0,36,0,29,0,44,34,3,0,0,3,0,44,19,0,0,25,0,25,22,45,14,15,31,20,38,12,48,3,0,29,6,0,1,33,
30,35,11,0,0,0,0,9,18,27,16,0,7,13,0,38,18,8,32,0,0,23,0,38,19,0,0,33,45,0,16,25,0,27,47,43,0,17,27,9,21,2,30,19,28,24,35,31,30,
22,1,0,26,20,3,0,0,48,39,10,0,6,0,0,24,10,0,13,39,15,40,37,0,37,5,0,19,12,5,0,22,27,0,0,19,0,47,0,6,9,42,0,0,0,17,8,18,17,
6,22,18,13,6,46,35,0,42,29,43,29,26,6,19,9,4,18,47,25,10,7,22,22,0,12,20,0,29,41,39,45,47,0,0,15,44,45,37,30,23,24,22,22,29,0,24,43,48,
40,0,5,0,31,16,0,4,0,12,44,36,3,42,46,48,43,33,0,38,21,16,38,0,12,24,44,0,10,0,0,14,43,19,15,0,39,47,3,1,40,47,36,1,9,0,35,0,4,
0,23,45,0,0,0,0,25,0,31,11,4,37,17,0,4,32,7,13,6,26,0,0,31,36,10,30,15,6,47,0,15,0,0,44,39,0,16,0,10,7,10,29,28,4,17,10,29,44,
41,0,33,9,34,0,24,8,40,10,0,31,42,0,3,43,38,42,2,0,16,0,23,42,4,36,0,0,14,14,8,31,17,47,45,47,16,0,0,0,36,0,41,0,0,47,0,0,6,
0,15,47,0,21,12,42,21,4,45,19,45,9,0,34,2,14,28,20,34,45,6,28,19,41,8,0,0,20,0,47,20,27,0,37,3,0,0,0,3,24,1,46,0,0,5,32,42,0,
0,0,36,29,2,47,0,8,24,20,36,0,1,16,10,37,0,0,13,0,8,18,22,16,0,26,0,45,41,16,0,38,9,6,30,1,10,0,3,0,29,0,0,37,0,0,0,22,17,
46,1,0,0,26,35,0,21,41,16,11,34,28,0,15,39,17,0,0,24,0,39,0,34,14,44,32,0,27,0,12,12,21,9,23,40,7,36,24,29,0,46,0,39,0,43,0,34,2,
47,40,17,0,39,42,2,31,0,1,32,47,41,43,17,15,47,2,0,2,1,25,34,47,0,40,24,1,17,46,33,48,2,42,24,47,10,0,1,0,46,0,0,10,33,5,7,1,0,
38,0,45,20,28,45,23,27,0,22,30,38,7,14,8,19,0,7,42,16,0,0,8,12,0,0,0,21,34,48,45,3,30,0,22,36,29,41,46,0,0,0,0,32,27,46,8,24,33,
35,27,9,0,35,37,3,17,6,21,13,42,0,36,37,15,44,5,1,45,9,29,16,5,26,48,0,44,0,15,13,0,19,0,22,1,28,0,0,37,39,10,32,0,0,0,7,19,0,
9,0,3,0,1,24,0,47,0,34,30,25,0,0,12,2,0,19,28,0,28,25,27,33,31,17,30,36,0,35,42,29,28,0,29,9,4,0,0,0,0,33,27,0,0,33,0,20,27,
3,24,35,0,7,18,16,20,43,37,29,0,0,46,38,45,26,12,43,48,26,0,27,34,42,0,0,36,43,33,3,6,24,17,0,0,17,47,5,0,43,5,46,0,33,0,23,27,47,
28,41,9,48,0,12,13,36,12,22,25,41,41,24,5,0,1,28,29,28,0,0,30,0,0,13,15,19,44,0,38,0,35,8,24,35,10,0,32,0,0,7,8,7,0,23,0,36,0,
44,44,41,36,0,48,0,39,28,43,35,46,0,39,23,32,33,12,28,0,0,0,34,0,0,0,9,10,0,46,47,1,31,18,43,0,29,0,42,22,34,1,24,19,20,27,36,0,29,
18,21,33,42,0,3,0,37,0,37,0,0,11,28,0,33,12,43,35,28,43,42,8,33,38,27,0,0,28,30,21,33,30,17,48,4,44,6,0,17,2,0,33,0,27,47,0,29,0,
