0,23,26,0,9,36,0,23,31,8,9,5,24,18,2,5,31,0,0,0,0,34,0,0,0,0,14,0,0,0,16,17,35,24,26,3,0,
23,0,0,10,0,24,31,12,5,24,8,0,0,23,0,2,18,4,24,20,0,12,22,0,35,35,10,1,4,8,0,36,8,5,32,28,9,
26,0,0,34,26,7,0,23,34,10,33,18,0,27,0,21,21,28,9,0,23,27,8,0,28,0,4,24,36,5,36,1,10,23,0,0,11,
0,10,34,0,0,0,1,24,20,5,35,27,13,0,34,30,0,0,0,6,30,0,0,25,0,32,0,0,24,14,28,0,36,0,34,7,25,
9,0,26,0,0,11,0,4,8,25,35,0,16,10,19,6,25,4,0,9,0,0,36,31,0,10,3,7,0,29,16,20,24,0,27,29,14,
36,24,7,0,11,0,14,7,31,0,16,35,31,28,3,19,32,0,13,0,18,0,35,25,11,0,16,20,29,19,0,15,0,26,4,30,0,
0,31,0,1,0,14,0,4,34,14,36,27,32,0,10,15,1,0,30,11,26,19,4,11,0,29,0,35,32,32,9,7,0,20,36,0,35,
23,12,23,24,4,7,4,0,3,24,32,24,21,20,1,19,10,21,8,13,27,20,20,8,1,6,36,1,0,26,18,12,9,13,0,0,21,
31,5,34,20,8,31,34,3,0,31,15,1,35,32,0,0,34,2,27,10,0,23,24,0,0,27,32,33,12,0,5,0,21,1,1,11,0,
8,24,10,5,25,0,14,24,31,0,1,19,23,1,13,1,0,25,13,32,19,1,0,23,8,0,1,24,31,26,0,0,0,35,31,14,0,
9,8,33,35,35,16,36,32,15,1,0,0,1,12,8,24,20,10,31,24,23,0,0,5,1,0,29,35,17,17,33,18,25,30,28,9,34,
5,0,18,27,0,35,27,24,1,19,0,0,14,4,0,29,27,29,0,17,24,16,14,11,35,22,17,16,9,0,0,0,0,5,24,0,0,
24,0,0,13,16,31,32,21,35,23,1,14,0,34,20,0,0,23,15,22,31,25,28,36,0,3,24,17,0,0,0,35,24,0,30,36,28,
18,23,27,0,10,28,0,20,32,1,12,4,34,0,36,17,35,11,35,3,0,34,17,1,6,0,16,14,3,21,35,0,5,2,9,32,21,
2,0,0,34,19,3,10,1,0,13,8,0,20,36,0,31,9,5,16,24,0,25,35,1,16,8,25,3,10,0,0,2,0,9,2,17,15,
5,2,21,30,6,19,15,19,0,1,24,29,0,17,31,0,0,0,36,0,0,24,22,0,32,14,0,20,5,24,0,0,26,29,8,34,0,
31,18,21,0,25,32,1,10,34,0,20,27,0,35,9,0,0,27,0,36,35,25,16,19,33,6,3,15,1,17,2,32,0,34,17,9,36,
0,4,28,0,4,0,0,21,2,25,10,29,23,11,5,0,27,0,1,22,32,25,36,0,27,0,6,0,0,6,21,0,0,4,0,0,10,
0,24,9,0,0,13,30,8,27,13,31,0,15,35,16,36,0,1,0,4,25,31,30,9,27,3,35,0,0,12,0,1,19,12,21,0,28,
0,20,0,6,9,0,11,13,10,32,24,17,22,3,24,0,36,22,4,0,28,10,8,15,32,35,10,5,19,5,20,36,6,8,8,36,28,
0,0,23,30,0,18,26,27,0,19,23,24,31,0,0,0,35,32,25,28,0,11,7,0,20,21,3,33,15,0,24,23,6,10,3,10,23,
34,12,27,0,0,0,19,20,23,1,0,16,25,34,25,24,25,25,31,10,11,0,0,0,32,10,33,7,0,0,23,11,34,6,19,9,3,
0,22,8,0,36,35,4,20,24,0,0,14,28,17,35,22,16,36,30,8,7,0,0,36,35,18,0,30,27,0,22,1,0,11,23,0,0,
0,0,0,25,31,25,11,8,0,23,5,11,36,1,1,0,19,0,9,15,0,0,36,0,23,0,33,2,36,35,25,8,29,19,34,2,29,
0,35,28,0,0,11,0,1,0,8,1,35,0,6,16,32,33,27,27,32,20,32,35,23,0,0,4,31,10,14,33,36,22,0,3,4,35,
0,35,0,32,10,0,29,6,27,0,0,22,3,0,8,14,6,0,3,35,21,10,18,0,0,0,0,0,0,0,2,24,29,0,36,25,36,
14,10,4,0,3,16,0,36,32,1,29,17,24,16,25,0,3,6,35,10,3,33,0,33,4,0,0,5,0,0,0,35,6,35,8,3,12,
0,1,24,0,7,20,35,1,33,24,35,16,17,14,3,20,15,0,0,5,33,7,30,2,31,0,5,0,17,8,24,13,32,0,36,26,0,
0,4,36,24,0,29,32,0,12,31,17,9,0,3,10,5,1,0,0,19,15,0,27,36,10,0,0,17,0,15,0,8,18,32,0,0,12,
0,8,5,14,29,19,32,26,0,26,17,0,0,21,0,24,17,6,12,5,0,0,0,35,14,0,0,8,15,0,24,23,0,13,31,23,36,
16,0,36,28,16,0,9,18,5,0,33,0,0,35,0,0,2,21,0,20,24,23,22,25,33,2,0,24,0,24,0,17,36,4,31,32,4,
17,36,1,0,20,15,7,12,0,0,18,0,35,0,2,0,32,0,1,36,23,11,1,8,36,24,35,13,8,23,17,0,19,0,0,36,27,
35,8,10,36,24,0,0,9,21,0,25,0,24,5,0,26,0,0,19,6,6,34,0,29,22,29,6,32,18,0,36,19,0,0,0,21,6,
24,5,23,0,0,26,20,13,1,35,30,5,0,2,9,29,34,4,12,8,10,6,11,19,0,0,35,0,32,13,4,0,0,0,28,0,0,
26,32,0,34,27,4,36,0,1,31,28,24,30,9,2,8,17,0,21,8,3,19,23,34,3,36,8,36,0,31,31,0,0,28,0,35,15,
3,28,0,7,29,30,0,0,11,14,9,0,36,32,17,34,9,0,0,36,10,9,0,2,4,25,3,26,0,23,32,36,21,0,35,0,15,
0,9,11,25,14,0,35,21,0,0,34,0,28,21,15,0,36,10,28,28,23,3,0,29,35,36,12,0,12,36,4,27,6,0,15,15,0,
