0,1,7,0,0,6,25,22,16,21,18,29,23,0,0,13,6,30,0,23,28,23,0,0,26,3,0,2,18,24,2,
1,0,16,10,0,27,27,0,17,0,6,24,25,0,6,26,0,5,1,1,22,29,22,4,0,21,29,26,0,0,15,
7,16,0,9,17,2,15,11,0,11,27,18,22,10,9,0,9,27,7,30,14,15,0,0,25,4,14,19,11,30,24,
0,10,9,0,15,0,0,5,25,8,0,27,27,29,0,3,12,5,21,0,5,13,15,25,14,20,12,7,17,0,16,
0,0,17,15,0,1,0,4,17,14,28,9,26,0,3,4,7,0,22,14,23,25,0,22,8,0,30,0,19,29,0,
6,27,2,0,1,0,7,13,28,0,27,0,11,2,17,26,12,20,3,11,0,7,0,13,26,18,14,4,2,4,29,
25,27,15,0,0,7,0,13,20,4,20,0,17,21,27,4,22,26,25,0,24,0,18,23,28,0,29,24,0,28,8,
22,0,11,5,4,13,13,0,10,0,0,21,13,14,4,0,9,15,22,25,0,12,3,22,0,27,0,30,27,0,0,
16,17,0,25,17,28,20,10,0,7,30,14,14,25,28,30,13,3,27,0,10,24,19,22,18,3,19,0,16,0,30,
21,0,11,8,14,0,4,0,7,0,25,16,12,0,8,27,22,28,21,1,12,18,0,5,7,9,0,17,18,0,1,
18,6,27,0,28,27,20,0,30,25,0,2,0,21,19,24,21,0,10,13,10,1,28,18,0,0,19,0,0,26,0,
29,24,18,27,9,0,0,21,14,16,2,0,0,11,4,11,18,16,0,20,6,22,0,5,6,16,0,7,16,20,3,
23,25,22,27,26,11,17,13,14,12,0,0,0,9,9,24,0,8,19,22,0,16,27,19,10,3,14,0,27,0,0,
0,0,10,29,0,2,21,14,25,0,21,11,9,0,0,30,4,20,20,28,22,4,30,3,20,0,26,23,0,21,14,
0,6,9,0,3,17,27,4,28,8,19,4,9,0,0,0,6,0,8,16,10,16,25,18,9,0,0,27,0,25,17,
13,26,0,3,4,26,4,0,30,27,24,11,24,30,0,0,25,0,25,15,29,21,0,29,22,0,0,0,0,9,30,
6,0,9,12,7,12,22,9,13,22,21,18,0,4,6,25,0,29,7,30,23,11,0,0,16,0,21,0,4,12,4,
30,5,27,5,0,20,26,15,3,28,0,16,8,20,0,0,29,0,1,4,16,16,20,10,6,0,4,13,0,18,5,
0,1,7,21,22,3,25,22,27,21,10,0,19,20,8,25,7,1,0,9,22,27,29,10,17,0,0,3,26,5,3,
23,1,30,0,14,11,0,25,0,1,13,20,22,28,16,15,30,4,9,0,17,9,0,30,0,0,8,2,0,17,15,
28,22,14,5,23,0,24,0,10,12,10,6,0,22,10,29,23,16,22,17,0,25,1,25,15,18,9,7,0,16,0,
23,29,15,13,25,7,0,12,24,18,1,22,16,4,16,21,11,16,27,9,25,0,0,0,18,12,20,24,0,25,17,
0,22,0,15,0,0,18,3,19,0,28,0,27,30,25,0,0,20,29,0,1,0,0,10,24,21,2,11,24,7,3,
0,4,0,25,22,13,23,22,22,5,18,5,19,3,18,29,0,10,10,30,25,0,10,0,7,6,26,14,15,0,12,
26,0,25,14,8,26,28,0,18,7,0,6,10,20,9,22,16,6,17,0,15,18,24,7,0,9,0,11,0,0,0,
3,21,4,20,0,18,0,27,3,9,0,16,3,0,0,0,0,0,0,0,18,12,21,6,9,0,28,20,17,5,26,
0,29,14,12,30,14,29,0,19,0,19,0,14,26,0,0,21,4,0,8,9,20,2,26,0,28,0,7,22,0,28,
2,26,19,7,0,4,24,30,0,17,0,7,0,23,27,0,0,13,3,2,7,24,11,14,11,20,7,0,27,1,15,
18,0,11,17,19,2,0,27,16,18,0,16,27,0,0,0,4,0,26,0,0,0,24,15,0,17,22,27,0,24,0,
24,0,30,0,29,4,28,0,0,0,26,20,0,21,25,9,12,18,5,17,16,25,7,0,0,5,0,1,24,0,0,
2,15,24,16,0,29,8,0,30,1,0,3,0,14,17,30,4,5,3,15,0,17,3,12,0,26,28,15,0,0,0,
