0,8,19,0,16,0,16,5,0,0,14,15,1,0,16,0,0,0,10,0,
8,0,0,12,0,0,2,7,8,0,12,17,15,6,2,0,5,12,0,0,
19,0,0,16,18,13,11,13,0,19,6,0,0,2,2,0,1,14,10,0,
0,12,16,0,2,4,19,19,2,14,1,13,7,0,1,16,0,0,13,10,
16,0,18,2,0,2,0,7,2,15,16,12,1,0,3,10,17,4,13,2,
0,0,13,4,2,0,0,7,5,8,5,7,14,6,19,14,18,18,15,13,
16,2,11,19,0,0,0,15,0,7,4,0,16,2,9,0,0,9,14,12,
5,7,13,19,7,7,15,0,15,17,15,0,13,15,10,10,5,0,13,1,
0,8,0,2,2,5,0,15,0,5,18,0,0,1,9,18,13,17,3,0,
0,0,19,14,15,8,7,17,5,0,0,9,0,6,9,0,4,4,1,17,
14,12,6,1,16,5,4,15,18,0,0,0,8,14,12,3,0,0,0,18,
15,17,0,13,12,7,0,0,0,9,0,0,17,15,12,2,5,16,7,15,
1,15,0,7,1,14,16,13,0,0,8,17,0,18,0,5,0,10,7,6,
0,6,2,0,0,6,2,15,1,6,14,15,18,0,4,0,11,0,1,7,
16,2,2,1,3,19,9,10,9,9,12,12,0,4,0,16,13,6,0,6,
0,0,0,16,10,14,0,10,18,0,3,2,5,0,16,0,0,12,9,0,
0,5,1,0,17,18,0,5,13,4,0,5,0,11,13,0,0,7,6,5,
0,12,14,0,4,18,9,0,17,4,0,16,10,0,6,12,7,0,18,16,
10,0,10,13,13,15,14,13,3,1,0,7,7,1,0,9,6,18,0,0,
0,0,0,10,2,13,12,1,0,17,18,15,6,7,6,0,5,16,0,0,
