0,15,6,38,11,0,28,32,0,30,14,41,23,12,42,0,0,0,7,18,0,5,32,6,34,39,23,14,30,3,40,0,13,12,19,25,28,18,16,42,0,42,29,
15,0,8,12,29,17,2,41,0,0,38,23,0,32,4,0,9,32,16,25,2,0,37,2,12,0,0,22,40,10,10,0,0,22,18,17,41,5,0,27,36,7,0,
6,8,0,9,7,0,0,13,24,1,28,0,22,4,7,16,35,22,16,13,15,11,37,14,0,3,0,39,0,0,22,13,39,0,36,22,37,26,0,23,25,36,0,
38,12,9,0,0,0,18,0,18,30,0,0,0,30,2,0,3,28,7,0,1,14,0,41,29,12,24,0,36,0,0,0,19,10,15,13,6,20,19,36,0,15,18,
11,29,7,0,0,17,19,36,1,14,28,8,22,5,0,0,16,10,0,0,0,0,19,31,22,30,29,0,2,12,0,11,18,0,17,31,28,0,5,20,0,30,40,
0,17,0,0,17,0,8,7,0,0,0,0,31,20,2,0,7,32,17,0,2,34,13,12,7,6,11,10,0,0,6,0,0,7,19,24,41,41,6,0,20,3,7,
28,2,0,18,19,8,0,21,39,8,2,14,0,0,15,9,29,26,18,21,19,31,36,5,14,35,18,27,20,26,42,0,1,34,0,28,23,0,24,6,10,2,0,
32,41,13,0,36,7,21,0,33,40,11,40,34,14,16,5,22,37,27,32,5,6,19,33,41,0,0,14,41,34,0,32,10,4,7,3,4,23,40,31,0,25,23,
0,0,24,18,1,0,39,33,0,28,41,0,10,33,10,0,28,22,0,20,25,36,29,13,38,9,9,0,0,13,27,25,26,40,0,0,1,0,4,17,27,36,37,
30,0,1,30,14,0,8,40,28,0,17,10,4,19,0,19,12,17,39,8,37,14,5,0,0,2,27,29,28,0,0,0,17,36,19,0,0,16,41,40,16,20,31,
14,38,28,0,28,0,2,11,41,17,0,32,17,33,29,15,42,23,7,37,20,7,21,13,14,0,20,0,8,17,8,33,0,34,15,26,24,39,27,12,9,0,1,
41,23,0,0,8,0,14,40,0,10,32,0,2,5,41,19,7,37,31,0,0,20,0,0,21,21,41,25,2,26,38,0,0,0,11,0,33,22,3,19,34,26,29,
23,0,22,0,22,31,0,34,10,4,17,2,0,22,23,27,5,31,11,25,0,14,19,0,5,39,0,27,0,2,35,41,0,34,8,4,10,15,16,24,7,30,33,
12,32,4,30,5,20,0,14,33,19,33,5,22,0,39,20,0,35,2,4,19,39,22,42,30,12,19,5,0,1,33,25,4,0,25,0,26,30,6,0,15,0,29,
42,4,7,2,0,2,15,16,10,0,29,41,23,39,0,13,41,27,29,0,6,40,20,6,0,25,0,9,0,15,0,11,23,8,32,16,31,0,7,0,9,41,18,
0,0,16,0,0,0,9,5,0,19,15,19,27,20,13,0,2,23,17,16,40,7,20,26,0,0,8,23,25,35,0,36,0,3,8,39,6,0,41,0,37,37,8,
0,9,35,3,16,7,29,22,28,12,42,7,5,0,41,2,0,2,0,0,3,33,2,0,18,0,18,25,2,23,22,42,19,8,4,1,0,0,40,42,29,32,18,
0,32,22,28,10,32,26,37,22,17,23,37,31,35,27,23,2,0,19,0,37,0,28,0,10,0,21,6,22,11,4,0,5,41,0,37,17,27,8,10,16,0,15,
7,16,16,7,0,17,18,27,0,39,7,31,11,2,29,17,0,19,0,0,11,20,0,27,2,14,0,39,17,34,0,0,30,14,8,27,40,28,13,10,2,6,0,
18,25,13,0,0,0,21,32,20,8,37,0,25,4,0,16,0,0,0,0,0,23,11,28,0,22,40,15,20,12,6,17,14,11,17,16,35,5,0,20,25,32,40,
0,2,15,1,0,2,19,5,25,37,20,0,0,19,6,40,3,37,11,0,0,32,39,0,2,22,0,0,0,24,0,10,1,0,36,41,7,7,0,0,0,11,0,
5,0,11,14,0,34,31,6,36,14,7,20,14,39,40,7,33,0,20,23,32,0,8,31,41,27,2,4,1,19,36,0,30,0,21,33,0,11,31,0,31,11,8,
32,37,37,0,19,13,36,19,29,5,21,0,19,22,20,20,2,28,0,11,39,8,0,16,41,8,6,0,15,14,29,42,0,32,16,34,33,35,30,41,18,13,40,
6,2,14,41,31,12,5,33,13,0,13,0,0,42,6,26,0,0,27,28,0,31,16,0,21,0,19,8,0,26,38,35,5,8,36,0,0,19,16,36,6,22,0,
34,12,0,29,22,7,14,41,38,0,14,21,5,30,0,0,18,10,2,0,2,41,41,21,0,0,19,8,36,8,33,7,24,0,18,24,35,0,6,42,8,0,26,
39,0,3,12,30,6,35,0,9,2,0,21,39,12,25,0,0,0,14,22,22,27,8,0,0,0,4,8,40,34,13,15,15,28,34,22,16,0,34,7,1,5,0,
23,0,0,24,29,11,18,0,9,27,20,41,0,19,0,8,18,21,0,40,0,2,6,19,19,4,0,23,13,1,24,0,17,0,36,0,0,27,9,39,34,4,0,
14,22,39,0,0,10,27,14,0,29,0,25,27,5,9,23,25,6,39,15,0,4,0,8,8,8,23,0,39,16,42,37,28,24,21,19,28,4,34,21,41,0,0,
30,40,0,36,2,0,20,41,0,28,8,2,0,0,0,25,2,22,17,20,0,1,15,0,36,40,13,39,0,23,31,0,1,4,39,1,20,35,4,37,37,35,31,
3,10,0,0,12,0,26,34,13,0,17,26,2,1,15,35,23,11,34,12,24,19,14,26,8,34,1,16,23,0,15,0,38,24,0,0,22,23,21,36,30,0,25,
40,10,22,0,0,6,42,0,27,0,8,38,35,33,0,0,22,4,0,6,0,36,29,38,33,13,24,42,31,15,0,9,7,16,41,0,9,27,4,32,33,0,15,
0,0,13,0,11,0,0,32,25,0,33,0,41,25,11,36,42,0,0,17,10,0,42,35,7,15,0,37,0,0,9,0,23,28,28,21,21,5,34,34,0,23,31,
13,0,39,19,18,0,1,10,26,17,0,0,0,4,23,0,19,5,30,14,1,30,0,5,24,15,17,28,1,38,7,23,0,36,29,26,26,39,13,0,38,2,40,
12,22,0,10,0,7,34,4,40,36,34,0,34,0,8,3,8,41,14,11,0,0,32,8,0,28,0,24,4,24,16,28,36,0,25,38,30,11,24,13,0,9,9,
19,18,36,15,17,19,0,7,0,19,15,11,8,25,32,8,4,0,8,17,36,21,16,36,18,34,36,21,39,0,41,28,29,25,0,40,14,0,0,2,0,32,7,
25,17,22,13,31,24,28,3,0,0,26,0,4,0,16,39,1,37,27,16,41,33,34,0,24,22,0,19,1,0,0,21,26,38,40,0,5,25,0,21,41,7,0,
28,41,37,6,28,41,23,4,1,0,24,33,10,26,31,6,0,17,40,35,7,0,33,0,35,16,0,28,20,22,9,21,26,30,14,5,0,18,42,32,14,0,0,
18,5,26,20,0,41,0,23,0,16,39,22,15,30,0,0,0,27,28,5,7,11,35,19,0,0,27,4,35,23,27,5,39,11,0,25,18,0,23,21,5,0,29,
16,0,0,19,5,6,24,40,4,41,27,3,16,6,7,41,40,8,13,0,0,31,30,16,6,34,9,34,4,21,4,34,13,24,0,0,42,23,0,0,0,36,20,
42,27,23,36,20,0,6,31,17,40,12,19,24,0,0,0,42,10,10,20,0,0,41,36,42,7,39,21,37,36,32,34,0,13,2,21,32,21,0,0,21,0,31,
0,36,25,0,0,20,10,0,27,16,9,34,7,15,9,37,29,16,2,25,0,31,18,6,8,1,34,41,37,30,33,0,38,0,0,41,14,5,0,21,0,37,20,
42,7,36,15,30,3,2,25,36,20,0,26,30,0,41,37,32,0,6,32,11,11,13,22,0,5,4,0,35,0,0,23,2,9,32,7,0,0,36,0,37,0,36,
29,0,0,18,40,7,0,23,37,31,1,29,33,29,18,8,18,15,0,40,0,8,40,0,26,0,0,0,31,25,15,31,40,9,7,0,0,29,20,31,20,36,0,
