0,0,34,9,0,15,19,0,16,32,7,0,23,0,0,14,28,14,18,22,17,14,0,38,9,36,0,7,30,20,0,39,34,2,35,18,36,0,0,6,0,
0,0,36,0,7,31,0,0,39,35,7,0,20,40,0,0,39,30,10,22,0,29,10,1,32,31,24,21,12,8,15,0,10,19,0,6,40,5,23,13,24,
34,36,0,39,12,0,0,0,0,35,40,0,0,24,27,25,27,37,33,36,0,0,24,39,39,22,9,0,1,0,24,35,13,13,15,21,25,6,0,9,32,
9,0,39,0,32,30,31,24,23,25,40,0,0,4,28,27,29,0,0,21,28,0,26,16,5,20,9,0,5,29,7,0,28,0,40,26,0,24,0,23,40,
0,7,12,32,0,2,0,9,0,6,38,29,14,38,39,16,0,0,13,34,14,21,16,9,11,1,8,39,0,27,37,0,34,38,36,21,39,38,14,27,38,
15,31,0,30,2,0,40,12,32,25,31,12,1,30,35,38,39,0,22,0,4,0,31,18,14,25,10,0,35,38,0,0,8,0,7,0,40,11,0,39,0,
19,0,0,31,0,40,0,0,0,27,0,0,0,21,35,32,38,5,3,0,23,23,0,23,0,2,27,18,0,24,26,36,0,8,0,0,22,20,0,0,0,
0,0,0,24,9,12,0,0,7,0,24,0,4,8,22,7,11,9,9,24,32,20,30,36,1,23,31,23,26,32,23,14,26,0,33,0,39,4,36,13,6,
16,39,0,23,0,32,0,7,0,0,0,0,12,8,0,18,0,36,19,25,35,14,0,36,34,16,0,40,0,28,9,17,30,28,0,2,24,0,40,26,18,
32,35,35,25,6,25,27,0,0,0,39,30,0,38,36,23,20,20,35,40,35,36,38,33,17,6,11,31,21,0,0,26,5,17,0,30,32,0,15,0,34,
7,7,40,40,38,31,0,24,0,39,0,4,3,37,28,9,2,0,11,0,9,0,31,4,30,35,17,26,12,17,2,5,0,37,0,9,0,0,11,8,0,
0,0,0,0,29,12,0,0,0,30,4,0,2,0,22,24,0,40,0,9,1,0,38,20,8,39,30,33,15,28,32,0,19,38,6,4,16,5,1,0,0,
23,20,0,0,14,1,0,4,12,0,3,2,0,32,0,23,0,0,26,34,8,20,19,0,0,0,0,0,20,0,19,2,1,26,16,34,0,9,13,39,31,
0,40,24,4,38,30,21,8,8,38,37,0,32,0,0,0,33,14,40,0,0,7,12,16,0,23,26,7,40,0,14,0,32,7,31,0,26,23,18,31,0,
0,0,27,28,39,35,35,22,0,36,28,22,0,0,0,36,40,32,38,31,12,31,36,4,35,28,32,27,0,3,0,31,0,14,0,5,38,33,20,40,40,
14,0,25,27,16,38,32,7,18,23,9,24,23,0,36,0,0,37,5,30,0,0,34,0,34,4,16,30,19,36,34,1,29,32,18,33,34,0,1,6,21,
28,39,27,29,0,39,38,11,0,20,2,0,0,33,40,0,0,13,13,28,0,6,0,11,0,0,23,28,9,8,11,36,29,0,29,22,0,0,8,31,13,
14,30,37,0,0,0,5,9,36,20,0,40,0,14,32,37,13,0,39,6,0,15,11,1,31,36,21,24,33,0,16,19,20,9,40,22,0,0,28,4,4,
18,10,33,0,13,22,3,9,19,35,11,0,26,40,38,5,13,39,0,19,0,14,23,11,4,11,27,0,1,33,10,12,32,38,13,1,37,0,33,8,28,
22,22,36,21,34,0,0,24,25,40,0,9,34,0,31,30,28,6,19,0,0,31,9,37,36,20,0,0,35,25,34,10,13,0,19,26,9,40,0,24,18,
