0,0,0,31,4,4,30,8,10,3,35,26,0,11,35,35,9,0,35,20,10,33,3,26,0,27,12,12,7,6,36,0,0,32,14,32,0,15,27,28,
0,0,36,35,13,9,3,10,0,29,25,28,33,13,32,0,20,0,5,0,0,0,29,0,13,34,27,28,9,0,0,3,0,13,25,17,6,38,0,7,
0,36,0,19,0,22,3,5,6,0,15,16,13,30,8,0,28,6,18,0,0,29,3,7,1,0,37,9,0,0,13,0,5,0,0,1,0,0,21,38,
31,35,19,0,5,0,4,18,32,38,27,37,15,39,12,0,30,3,7,0,0,9,0,36,11,12,10,13,0,18,31,13,32,21,22,0,26,39,0,30,
4,13,0,5,0,32,17,0,31,31,29,36,38,30,0,18,0,33,0,33,35,29,15,35,0,33,17,0,0,15,34,22,32,17,0,17,0,0,36,0,
4,9,22,0,32,0,0,12,20,11,32,1,12,25,6,5,24,25,0,30,0,24,36,32,39,19,37,34,6,20,26,0,6,0,0,29,20,18,0,2,
30,3,3,4,17,0,0,12,11,0,1,0,34,12,19,5,23,30,3,0,34,14,1,22,38,38,24,0,5,14,34,1,20,31,29,25,0,0,0,0,
8,10,5,18,0,12,12,0,38,28,3,30,0,0,22,7,9,12,4,30,15,17,10,6,34,21,15,31,36,30,0,0,0,5,25,19,0,31,6,34,
10,0,6,32,31,20,11,38,0,37,9,34,11,0,0,21,35,38,3,18,27,21,13,0,36,0,39,2,5,0,37,36,20,0,4,33,36,33,13,36,
3,29,0,38,31,11,0,28,37,0,37,21,21,0,26,21,0,16,0,0,13,1,31,24,0,13,27,15,26,30,25,30,23,33,36,0,17,33,0,14,
35,25,15,27,29,32,1,3,9,37,0,37,0,0,19,12,2,6,21,0,11,30,1,35,22,5,0,30,0,11,31,4,15,19,32,17,0,0,0,7,
26,28,16,37,36,1,0,30,34,21,37,0,0,12,0,6,0,3,0,2,39,10,0,0,30,22,17,21,0,5,39,17,39,3,37,0,11,0,22,18,
0,33,13,15,38,12,34,0,11,21,0,0,0,8,32,27,30,21,29,0,0,0,2,0,18,7,0,0,29,0,0,25,2,23,32,8,33,33,5,37,
11,13,30,39,30,25,12,0,0,0,0,12,8,0,19,38,0,0,3,0,6,0,0,18,25,0,34,6,6,14,19,33,14,28,15,17,0,29,30,0,
35,32,8,12,0,6,19,22,0,26,19,0,32,19,0,23,20,0,0,7,0,0,2,0,25,12,4,27,17,18,22,29,26,14,39,8,33,30,30,14,
35,0,0,0,18,5,5,7,21,21,12,6,27,38,23,0,23,0,12,14,27,0,0,22,1,17,0,26,19,10,24,0,0,11,37,22,39,0,33,37,
9,20,28,30,0,24,23,9,35,0,2,0,30,0,20,23,0,36,32,10,18,25,0,6,17,6,0,15,23,4,36,0,34,38,24,18,10,6,23,1,
0,0,6,3,33,25,30,12,38,16,6,3,21,0,0,0,36,0,0,1,13,12,0,7,20,0,10,23,4,29,1,9,0,37,24,0,26,31,6,1,
35,5,18,7,0,0,3,4,3,0,21,0,29,3,0,12,32,0,0,29,19,0,0,25,28,5,12,32,11,4,38,2,18,0,27,34,15,30,0,12,
20,0,0,0,33,30,0,30,18,0,0,2,0,0,7,14,10,1,29,0,36,0,33,0,0,21,39,13,37,13,0,8,21,16,0,22,10,1,2,16,
10,0,0,0,35,0,34,15,27,13,11,39,0,6,0,27,18,13,19,36,0,6,8,11,0,0,13,20,18,12,0,9,37,16,10,16,23,4,14,34,
33,0,29,9,29,24,14,17,21,1,30,10,0,0,0,0,25,12,0,0,6,0,27,28,28,28,12,19,0,9,20,0,11,21,0,0,3,32,0,4,
3,29,3,0,15,36,1,10,13,31,1,0,2,0,2,0,0,0,0,33,8,27,0,12,0,21,19,23,1,17,7,6,0,39,20,7,0,0,26,8,
26,0,7,36,35,32,22,6,0,24,35,0,0,18,0,22,6,7,25,0,11,28,12,0,25,33,38,0,0,0,9,26,7,33,12,2,31,0,0,5,
0,13,1,11,0,39,38,34,36,0,22,30,18,25,25,1,17,20,28,0,0,28,0,25,0,0,14,18,7,0,24,0,14,0,3,28,5,0,0,0,
27,34,0,12,33,19,38,21,0,13,5,22,7,0,12,17,6,0,5,21,0,28,21,33,0,0,5,0,13,11,9,28,18,0,35,0,3,16,31,0,
12,27,37,10,17,37,24,15,39,27,0,17,0,34,4,0,0,10,12,39,13,12,19,38,14,5,0,0,1,0,28,18,36,0,13,30,0,0,16,37,
12,28,9,13,0,34,0,31,2,15,30,21,0,6,27,26,15,23,32,13,20,19,23,0,18,0,0,0,5,0,0,0,27,23,0,0,12,13,36,0,
7,9,0,0,0,6,5,36,5,26,0,0,29,6,17,19,23,4,11,37,18,0,1,0,7,13,1,5,0,15,0,3,7,25,25,31,3,17,39,0,
6,0,0,18,15,20,14,30,0,30,11,5,0,14,18,10,4,29,4,13,12,9,17,0,0,11,0,0,15,0,36,38,12,0,4,24,28,14,8,12,
36,0,13,31,34,26,34,0,37,25,31,39,0,19,22,24,36,1,38,0,0,20,7,9,24,9,28,0,0,36,0,0,13,0,0,10,3,31,0,20,
0,3,0,13,22,0,1,0,36,30,4,17,25,33,29,0,0,9,2,8,9,0,6,26,0,28,18,0,3,38,0,0,0,38,24,34,0,0,30,3,
0,0,5,32,32,6,20,0,20,23,15,39,2,14,26,0,34,0,18,21,37,11,0,7,14,18,36,27,7,12,13,0,0,0,2,33,12,7,0,5,
32,13,0,21,17,0,31,5,0,33,19,3,23,28,14,11,38,37,0,16,16,21,39,33,0,0,0,23,25,0,0,38,0,0,6,0,39,24,23,21,
14,25,0,22,0,0,29,25,4,36,32,37,32,15,39,37,24,24,27,0,10,0,20,12,3,35,13,0,25,4,0,24,2,6,0,10,0,25,22,31,
32,17,1,0,17,29,25,19,33,0,17,0,8,17,8,22,18,0,34,22,16,0,7,2,28,0,30,0,31,24,10,34,33,0,10,0,0,16,38,0,
0,6,0,26,0,20,0,0,36,17,0,11,33,0,33,39,10,26,15,10,23,3,0,31,5,3,0,12,3,28,3,0,12,39,0,0,0,0,27,15,
15,38,0,39,0,18,0,31,33,33,0,0,33,29,30,0,6,31,30,1,4,32,0,0,0,16,0,13,17,14,31,0,7,24,25,16,0,0,38,0,
27,0,21,0,36,0,0,6,13,0,0,22,5,30,30,33,23,6,0,2,14,0,26,0,0,31,16,36,39,8,0,30,0,23,22,38,27,38,0,18,
28,7,38,30,0,2,0,34,36,14,7,18,37,0,14,37,1,1,12,16,34,4,8,5,0,0,37,0,0,12,20,3,5,21,31,0,15,0,18,0,
