0,7,0,0,0,0,2,11,8,0,7,22,0,0,16,1,14,4,11,19,3,16,0,23,
7,0,14,23,0,17,9,11,7,0,6,0,0,12,0,4,0,0,16,0,0,8,21,3,
0,14,0,14,23,7,5,8,19,2,0,12,0,23,0,3,12,1,23,11,12,0,0,20,
0,23,14,0,1,19,2,0,10,12,2,9,18,0,9,11,12,23,15,2,6,19,0,6,
0,0,23,1,0,3,0,4,18,9,7,0,23,5,0,4,11,18,19,0,19,9,0,21,
0,17,7,19,3,0,4,15,0,13,16,0,14,0,3,8,15,19,19,0,0,0,4,18,
2,9,5,2,0,4,0,0,10,0,19,19,0,0,23,20,18,0,15,0,17,0,11,11,
11,11,8,0,4,15,0,0,0,11,13,18,17,10,18,11,7,3,20,14,17,5,17,0,
8,7,19,10,18,0,10,0,0,0,0,6,0,15,2,0,13,0,10,12,0,14,0,0,
0,0,2,12,9,13,0,11,0,0,0,0,6,15,3,0,1,9,15,8,17,17,11,7,
7,6,0,2,7,16,19,13,0,0,0,23,23,17,5,12,0,0,2,3,19,17,0,3,
22,0,12,9,0,0,19,18,6,0,23,0,9,14,12,14,22,16,3,4,16,11,19,7,
0,0,0,18,23,14,0,17,0,6,23,9,0,20,16,10,0,20,6,11,0,16,5,5,
0,12,23,0,5,0,0,10,15,15,17,14,20,0,15,0,2,8,0,18,4,11,23,11,
16,0,0,9,0,3,23,18,2,3,5,12,16,15,0,18,4,20,0,0,0,4,2,0,
1,4,3,11,4,8,20,11,0,0,12,14,10,0,18,0,11,10,22,14,0,0,1,0,
14,0,12,12,11,15,18,7,13,1,0,22,0,2,4,11,0,2,16,0,0,17,9,2,
4,0,1,23,18,19,0,3,0,9,0,16,20,8,20,10,2,0,22,15,0,21,3,6,
11,16,23,15,19,19,15,20,10,15,2,3,6,0,0,22,16,22,0,1,3,12,8,4,
19,0,11,2,0,0,0,14,12,8,3,4,11,18,0,14,0,15,1,0,0,9,6,4,
3,0,12,6,19,0,17,17,0,17,19,16,0,4,0,0,0,0,3,0,0,0,6,13,
16,8,0,19,9,0,0,5,14,17,17,11,16,11,4,0,17,21,12,9,0,0,3,11,
0,21,0,0,0,4,11,17,0,11,0,19,5,23,2,1,9,3,8,6,6,3,0,0,
23,3,20,6,21,18,11,0,0,7,3,7,5,11,0,0,2,6,4,4,13,11,0,0,
