0,37,25,47,0,24,21,0,25,17,47,38,1,34,28,0,32,32,0,0,6,0,19,34,44,25,13,35,8,17,0,41,47,1,42,19,8,7,0,47,4,35,44,0,33,46,40,10,
37,0,7,22,38,18,22,23,8,5,3,0,31,10,0,27,14,0,0,10,16,32,40,18,7,16,43,18,6,39,41,0,35,29,2,0,13,43,25,39,0,4,0,32,33,30,2,0,
25,7,0,27,7,1,39,36,41,4,36,0,0,2,23,0,0,8,12,45,16,43,0,32,0,0,4,17,12,32,0,40,36,35,0,28,17,0,13,0,25,20,12,0,0,37,0,36,
47,22,27,0,2,0,36,36,0,0,0,36,22,3,0,36,38,35,10,0,7,5,39,0,23,21,35,22,25,15,0,42,14,24,17,0,28,22,26,23,32,25,23,32,8,41,8,9,
0,38,7,2,0,17,13,34,19,4,24,35,13,8,19,0,3,8,0,39,32,0,26,40,0,28,0,20,28,0,40,11,0,17,26,39,40,6,16,27,0,2,13,32,15,26,24,0,
24,18,1,0,17,0,7,32,0,14,0,31,16,0,16,45,39,0,0,0,2,34,0,1,0,37,0,21,24,3,0,0,0,6,40,0,36,1,0,17,0,42,0,41,0,21,0,0,
21,22,39,36,13,7,0,20,0,0,0,41,28,0,11,7,6,3,0,0,47,30,13,0,23,34,36,6,38,0,43,2,28,0,4,0,12,0,16,23,1,0,0,3,1,36,37,0,
0,23,36,36,34,32,20,0,45,0,0,30,0,0,35,26,37,0,35,46,44,8,24,0,3,0,5,24,41,43,15,22,0,0,41,12,30,19,20,13,32,22,22,34,37,7,43,27,
25,8,41,0,19,0,0,45,0,46,3,0,45,5,12,0,0,0,35,34,11,8,20,0,34,0,0,47,30,41,40,25,18,0,32,0,0,40,17,0,0,16,35,11,20,0,42,37,
17,5,4,0,4,14,0,0,46,0,23,27,1,15,9,18,0,46,3,47,0,11,8,33,16,0,0,0,28,0,9,18,0,30,44,8,0,0,37,46,1,4,46,26,25,28,0,44,
47,3,36,0,24,0,0,0,3,23,0,12,47,40,9,21,0,20,15,0,0,3,0,44,9,20,33,9,18,0,20,0,26,24,24,0,19,5,6,0,14,22,4,39,3,0,28,3,
38,0,0,36,35,31,41,30,0,27,12,0,28,38,4,39,46,40,0,0,4,6,8,22,44,41,0,0,0,0,15,0,25,0,0,6,0,0,6,0,29,25,30,0,0,47,3,39,
1,31,0,22,13,16,28,0,45,1,47,28,0,10,0,0,7,19,0,33,19,11,16,32,17,12,0,19,44,7,18,15,0,22,12,0,0,24,24,17,46,19,38,8,0,37,38,10,
34,10,2,3,8,0,0,0,5,15,40,38,10,0,0,34,0,0,0,28,0,0,0,39,22,19,20,7,29,23,9,0,2,0,35,0,0,22,36,0,22,23,17,26,32,37,42,12,
28,0,23,0,19,16,11,35,12,9,9,4,0,0,0,0,44,0,11,21,12,10,23,0,45,29,26,42,0,31,14,0,15,0,19,3,23,0,16,31,25,2,0,26,0,14,26,14,
0,27,0,36,0,45,7,26,0,18,21,39,0,34,0,0,43,15,38,26,11,0,23,1,6,45,0,30,0,17,43,38,6,21,0,39,0,9,44,0,10,0,3,19,0,37,21,0,
32,14,0,38,3,39,6,37,0,0,0,46,7,0,44,43,0,5,26,3,35,16,8,0,0,40,30,7,0,36,42,34,14,17,8,15,0,44,0,0,0,25,4,21,43,0,13,4,
32,0,8,35,8,0,3,0,0,46,20,40,19,0,0,15,5,0,38,0,0,6,0,43,37,39,25,14,0,24,27,0,0,40,19,18,5,23,35,0,12,26,33,44,18,11,17,0,
0,0,12,10,0,0,0,35,35,3,15,0,0,0,11,38,26,38,0,44,19,32,28,36,0,0,0,9,6,42,34,42,24,2,26,29,22,13,31,0,35,0,35,0,0,35,38,34,
0,10,45,0,39,0,0,46,34,47,0,0,33,28,21,26,3,0,44,0,23,0,0,15,0,5,2,0,0,0,29,12,0,0,0,0,39,0,22,0,5,0,41,0,40,28,41,0,
6,16,16,7,32,2,47,44,11,0,0,4,19,0,12,11,35,0,19,23,0,0,1,6,4,0,6,32,17,33,22,0,27,38,11,38,0,13,31,20,20,0,0,23,0,11,29,15,
0,32,43,5,0,34,30,8,8,11,3,6,11,0,10,0,16,6,32,0,0,0,12,0,0,28,40,19,29,30,40,30,0,41,44,0,20,33,2,16,10,0,24,37,10,2,28,40,
19,40,0,39,26,0,13,24,20,8,0,8,16,0,23,23,8,0,28,0,1,12,0,0,8,0,1,0,13,0,0,36,40,45,33,0,32,0,14,0,23,40,10,0,0,5,0,25,
34,18,32,0,40,1,0,0,0,33,44,22,32,39,0,1,0,43,36,15,6,0,0,0,21,24,32,13,33,14,42,21,10,11,43,26,0,0,19,35,36,39,0,28,0,14,0,0,
44,7,0,23,0,0,23,3,34,16,9,44,17,22,45,6,0,37,0,0,4,0,8,21,0,17,0,26,1,27,42,24,16,0,0,11,45,38,19,4,41,12,33,2,33,31,38,44,
25,16,0,21,28,37,34,0,0,0,20,41,12,19,29,45,40,39,0,5,0,28,0,24,17,0,23,35,27,46,0,8,19,27,37,21,44,24,0,43,27,44,39,0,20,40,21,30,
13,43,4,35,0,0,36,5,0,0,33,0,0,20,26,0,30,25,0,2,6,40,1,32,0,23,0,0,11,39,26,43,47,0,0,27,0,34,41,15,0,38,20,0,0,45,28,8,
35,18,17,22,20,21,6,24,47,0,9,0,19,7,42,30,7,14,9,0,32,19,0,13,26,35,0,0,0,12,10,20,33,5,28,0,39,31,0,26,1,25,22,4,15,47,27,13,
8,6,12,25,28,24,38,41,30,28,18,0,44,29,0,0,0,0,6,0,17,29,13,33,1,27,11,0,0,38,40,18,26,18,24,43,21,0,4,30,0,0,44,25,36,8,15,42,
17,39,32,15,0,3,0,43,41,0,0,0,7,23,31,17,36,24,42,0,33,30,0,14,27,46,39,12,38,0,35,0,26,8,0,0,46,9,25,0,36,40,35,0,0,19,4,39,
0,41,0,0,40,0,43,15,40,9,20,15,18,9,14,43,42,27,34,29,22,40,0,42,42,0,26,10,40,35,0,39,21,17,8,0,13,38,36,31,24,40,18,0,42,14,38,22,
41,0,40,42,11,0,2,22,25,18,0,0,15,0,0,38,34,0,42,12,0,30,36,21,24,8,43,20,18,0,39,0,16,10,0,24,24,23,2,16,43,27,8,45,18,24,30,0,
47,35,36,14,0,0,28,0,18,0,26,25,0,2,15,6,14,0,24,0,27,0,40,10,16,19,47,33,26,26,21,16,0,2,46,21,5,47,0,12,0,28,47,18,22,22,0,18,
1,29,35,24,17,6,0,0,0,30,24,0,22,0,0,21,17,40,2,0,38,41,45,11,0,27,0,5,18,8,17,10,2,0,9,3,32,38,47,35,0,38,22,15,30,0,0,24,
42,2,0,17,26,40,4,41,32,44,24,0,12,35,19,0,8,19,26,0,11,44,33,43,0,37,0,28,24,0,8,0,46,9,0,0,24,25,0,32,34,0,0,19,15,7,30,34,
19,0,28,0,39,0,0,12,0,8,0,6,0,0,3,39,15,18,29,0,38,0,0,26,11,21,27,0,43,0,0,24,21,3,0,0,0,44,35,0,15,12,0,0,26,40,13,0,
8,13,17,28,40,36,12,30,0,0,19,0,0,0,23,0,0,5,22,39,0,20,32,0,45,44,0,39,21,46,13,24,5,32,24,0,0,32,6,30,42,23,1,43,0,16,37,15,
7,43,0,22,6,1,0,19,40,0,5,0,24,22,0,9,44,23,13,0,13,33,0,0,38,24,34,31,0,9,38,23,47,38,25,44,32,0,11,47,22,4,2,2,0,22,0,0,
0,25,13,26,16,0,16,20,17,37,6,6,24,36,16,44,0,35,31,22,31,2,14,19,19,0,41,0,4,25,36,2,0,47,0,35,6,11,0,0,41,0,33,0,0,0,7,2,
47,39,0,23,27,17,23,13,0,46,0,0,17,0,31,0,0,0,0,0,20,16,0,35,4,43,15,26,30,0,31,16,12,35,32,0,30,47,0,0,0,15,13,0,0,35,21,10,
4,0,25,32,0,0,1,32,0,1,14,29,46,22,25,10,0,12,35,5,20,10,23,36,41,27,0,1,0,36,24,43,0,0,34,15,42,22,41,0,0,14,30,0,25,0,37,22,
35,4,20,25,2,42,0,22,16,4,22,25,19,23,2,0,25,26,0,0,0,0,40,39,12,44,38,25,0,40,40,27,28,38,0,12,23,4,0,15,14,0,38,24,40,14,28,38,
44,0,12,23,13,0,0,22,35,46,4,30,38,17,0,3,4,33,35,41,0,24,10,0,33,39,20,22,44,35,18,8,47,22,0,0,1,2,33,13,30,38,0,0,0,24,0,0,
0,32,0,32,32,41,3,34,11,26,39,0,8,26,26,19,21,44,0,0,23,37,0,28,2,0,0,4,25,0,0,45,18,15,19,0,43,2,0,0,0,24,0,0,11,25,5,24,
33,33,0,8,15,0,1,37,20,25,3,0,0,32,0,0,43,18,0,40,0,10,0,0,33,20,0,15,36,0,42,18,22,30,15,26,0,0,0,0,25,40,0,11,0,30,0,39,
46,30,37,41,26,21,36,7,0,28,0,47,37,37,14,37,0,11,35,28,11,2,5,14,31,40,45,47,8,19,14,24,22,0,7,40,16,22,0,35,0,14,24,25,30,0,27,7,
40,2,0,8,24,0,37,43,42,0,28,3,38,42,26,21,13,17,38,41,29,28,0,0,38,21,28,27,15,4,38,30,0,0,30,13,37,0,7,21,37,28,0,5,0,27,0,11,
10,0,36,9,0,0,0,27,37,44,3,39,10,12,14,0,4,0,34,0,15,40,25,0,44,30,8,13,42,39,22,0,18,24,34,0,15,0,2,10,22,38,0,24,39,7,11,0,
