0,44,28,25,38,35,39,0,0,31,13,30,17,19,0,28,0,29,13,43,0,0,44,0,0,13,0,9,25,2,37,0,21,12,29,13,35,27,18,28,9,6,8,30,34,
44,0,0,4,40,0,44,17,3,0,21,2,4,0,36,34,0,3,43,32,43,36,23,0,44,23,19,0,21,0,2,0,0,24,44,34,0,24,8,0,0,44,38,3,0,
28,0,0,0,18,17,38,17,0,1,11,4,0,14,0,21,29,7,43,8,36,0,0,42,14,35,42,13,0,10,40,43,35,44,9,36,33,15,0,29,38,32,19,0,19,
25,4,0,0,18,0,22,7,0,0,11,40,27,36,3,19,0,0,43,22,0,0,21,0,37,41,6,28,0,11,0,12,26,9,0,0,42,0,0,41,22,23,13,0,0,
38,40,18,18,0,30,28,21,33,41,1,31,0,0,1,0,40,36,35,10,28,0,37,9,6,8,7,39,24,11,40,39,7,15,0,20,25,31,28,39,33,3,14,0,5,
35,0,17,0,30,0,6,21,29,11,0,24,0,2,31,20,27,27,29,2,36,40,30,33,13,0,9,26,0,29,37,38,0,0,18,34,14,41,6,0,20,27,24,31,0,
39,44,38,22,28,6,0,37,0,30,37,4,9,33,0,36,22,41,17,0,0,4,11,17,44,7,23,0,12,35,0,0,0,19,4,20,33,0,11,41,0,38,26,37,0,
0,17,17,7,21,21,37,0,0,8,0,35,10,8,0,20,16,31,36,23,16,0,0,30,23,42,29,0,38,0,0,40,27,44,2,17,0,10,20,18,12,7,10,30,23,
0,3,0,0,33,29,0,0,0,41,0,12,38,0,18,7,27,6,8,0,0,0,0,43,40,15,25,14,28,4,0,12,23,22,20,0,39,42,27,39,8,40,40,11,0,
31,0,1,0,41,11,30,8,41,0,29,0,18,15,33,20,0,7,11,0,34,33,32,0,0,0,3,34,35,31,0,2,24,31,23,36,0,32,31,33,16,10,34,0,0,
13,21,11,11,1,0,37,0,0,29,0,18,44,37,0,12,33,43,44,32,25,21,42,3,21,10,14,4,0,1,0,9,29,0,29,25,23,0,38,28,38,11,10,34,33,
30,2,4,40,31,24,4,35,12,0,18,0,34,0,0,0,34,15,26,26,30,18,44,40,5,30,31,2,43,0,0,12,39,27,33,1,0,0,40,0,9,0,10,21,29,
17,4,0,27,0,0,9,10,38,18,44,34,0,44,34,33,0,41,6,0,23,28,11,0,0,38,8,32,0,28,0,38,0,6,3,0,0,0,39,13,6,43,28,16,19,
19,0,14,36,0,2,33,8,0,15,37,0,44,0,3,0,0,37,41,0,9,32,0,21,13,0,6,4,0,4,0,42,19,0,25,20,31,0,42,2,0,9,13,30,16,
0,36,0,3,1,31,0,0,18,33,0,0,34,3,0,16,20,1,22,0,39,0,2,32,0,0,14,0,0,30,42,23,44,0,0,28,1,14,20,35,0,40,6,43,0,
28,34,21,19,0,20,36,20,7,20,12,0,33,0,16,0,11,18,0,25,37,35,26,0,17,0,16,33,35,40,38,9,2,22,0,28,2,19,1,15,32,25,27,24,6,
0,0,29,0,40,27,22,16,27,0,33,34,0,0,20,11,0,26,6,0,16,0,18,0,29,0,33,0,0,5,22,11,6,15,8,6,0,41,29,36,30,0,42,0,18,
29,3,7,0,36,27,41,31,6,7,43,15,41,37,1,18,26,0,0,7,34,0,2,2,20,11,4,18,28,0,0,36,14,4,17,24,19,0,8,37,13,0,32,35,3,
13,43,43,43,35,29,17,36,8,11,44,26,6,41,22,0,6,0,0,19,41,5,24,23,32,36,35,18,31,0,0,5,33,42,16,19,26,15,40,18,14,16,8,28,0,
43,32,8,22,10,2,0,23,0,0,32,26,0,0,0,25,0,7,19,0,16,5,15,18,32,0,39,0,44,43,27,0,37,0,2,0,31,34,0,22,27,31,16,25,0,
0,43,36,0,28,36,0,16,0,34,25,30,23,9,39,37,16,34,41,16,0,12,24,40,27,23,6,0,11,37,29,0,22,24,5,6,0,43,0,37,42,21,25,43,7,
0,36,0,0,0,40,4,0,0,33,21,18,28,32,0,35,0,0,5,5,12,0,19,26,5,24,1,24,15,18,12,11,25,24,29,34,0,10,6,37,14,0,0,2,44,
44,23,0,21,37,30,11,0,0,32,42,44,11,0,2,26,18,2,24,15,24,19,0,19,38,5,14,29,43,0,0,14,33,3,26,25,4,11,38,17,9,11,0,2,1,
0,0,42,0,9,33,17,30,43,0,3,40,0,21,32,0,0,2,23,18,40,26,19,0,14,4,9,9,24,0,11,0,39,29,9,0,0,37,0,0,8,37,32,10,13,
0,44,14,37,6,13,44,23,40,0,21,5,0,13,0,17,29,20,32,32,27,5,38,14,0,6,39,0,23,9,0,0,43,0,38,1,29,13,17,32,9,33,18,12,19,
13,23,35,41,8,0,7,42,15,0,10,30,38,0,0,0,0,11,36,0,23,24,5,4,6,0,23,14,7,13,18,43,21,2,0,0,7,13,0,44,0,22,43,36,42,
0,19,42,6,7,9,23,29,25,3,14,31,8,6,14,16,33,4,35,39,6,1,14,9,39,23,0,13,35,0,7,28,16,24,25,35,0,10,16,23,7,26,2,33,0,
9,0,13,28,39,26,0,0,14,34,4,2,32,4,0,33,0,18,18,0,0,24,29,9,0,14,13,0,0,21,0,42,1,0,5,6,17,0,40,3,0,39,25,33,11,
25,21,0,0,24,0,12,38,28,35,0,43,0,0,0,35,0,28,31,44,11,15,43,24,23,7,35,0,0,21,18,24,0,33,0,25,35,12,0,0,0,16,29,1,32,
2,0,10,11,11,29,35,0,4,31,1,0,28,4,30,40,5,0,0,43,37,18,0,0,9,13,0,21,21,0,41,23,6,21,10,0,0,44,14,40,12,21,9,22,0,
37,2,40,0,40,37,0,0,0,0,0,0,0,0,42,38,22,0,0,27,29,12,0,11,0,18,7,0,18,41,0,26,27,8,23,0,35,18,24,32,12,8,0,29,25,
0,0,43,12,39,38,0,40,12,2,9,12,38,42,23,9,11,36,5,0,0,11,14,0,0,43,28,42,24,23,26,0,0,36,0,29,0,9,40,13,26,0,0,34,23,
21,0,35,26,7,0,0,27,23,24,29,39,0,19,44,2,6,14,33,37,22,25,33,39,43,21,16,1,0,6,27,0,0,36,5,0,6,0,36,13,37,43,6,8,0,
12,24,44,9,15,0,19,44,22,31,0,27,6,0,0,22,15,4,42,0,24,24,3,29,0,2,24,0,33,21,8,36,36,0,39,18,2,22,25,24,0,27,0,25,18,
29,44,9,0,0,18,4,2,20,23,29,33,3,25,0,0,8,17,16,2,5,29,26,9,38,0,25,5,0,10,23,0,5,39,0,39,22,26,0,32,0,19,1,7,23,
13,34,36,0,20,34,20,17,0,36,25,1,0,20,28,28,6,24,19,0,6,34,25,0,1,0,35,6,25,0,0,29,0,18,39,0,0,38,0,9,0,27,33,7,0,
35,0,33,42,25,14,33,0,39,0,23,0,0,31,1,2,0,19,26,31,0,0,4,0,29,7,0,17,35,0,35,0,6,2,22,0,0,13,18,9,1,20,1,25,0,
27,24,15,0,31,41,0,10,42,32,0,0,0,0,14,19,41,0,15,34,43,10,11,37,13,13,10,0,12,44,18,9,0,22,26,38,13,0,15,0,36,0,42,0,18,
18,8,0,0,28,6,11,20,27,31,38,40,39,42,20,1,29,8,40,0,0,6,38,0,17,0,16,40,0,14,24,40,36,25,0,0,18,15,0,32,13,5,0,15,0,
28,0,29,41,39,0,41,18,39,33,28,0,13,2,35,15,36,37,18,22,37,37,17,0,32,44,23,3,0,40,32,13,13,24,32,9,9,0,32,0,0,34,0,25,5,
9,0,38,22,33,20,0,12,8,16,38,9,6,0,0,32,30,13,14,27,42,14,9,8,9,0,7,0,0,12,12,26,37,0,0,0,1,36,13,0,0,0,31,44,0,
6,44,32,23,3,27,38,7,40,10,11,0,43,9,40,25,0,0,16,31,21,0,11,37,33,22,26,39,16,21,8,0,43,27,19,27,20,0,5,34,0,0,40,33,26,
8,38,19,13,14,24,26,10,40,34,10,10,28,13,6,27,42,32,8,16,25,0,0,32,18,43,2,25,29,9,0,0,6,0,1,33,1,42,0,0,31,40,0,0,0,
30,3,0,0,0,31,37,30,11,0,34,21,16,30,43,24,0,35,28,25,43,2,2,10,12,36,33,33,1,22,29,34,8,25,7,7,25,0,15,25,44,33,0,0,0,
34,0,19,0,5,0,0,23,0,0,33,29,19,16,0,6,18,3,0,0,7,44,1,13,19,42,0,11,32,0,25,23,0,18,23,0,0,18,0,5,0,26,0,0,0,
