0,7,13,0,0,11,11,8,14,14,0,0,8,5,0,0,
7,0,11,2,4,11,9,12,8,12,5,0,5,2,0,2,
13,11,0,0,8,8,9,0,0,7,8,15,0,5,9,14,
0,2,0,0,8,14,6,0,15,1,0,13,0,0,10,0,
0,4,8,8,0,8,3,14,12,2,5,3,0,3,1,6,
11,11,8,14,8,0,4,6,0,5,10,2,14,6,0,1,
11,9,9,6,3,4,0,12,12,11,7,0,14,11,3,0,
8,12,0,0,14,6,12,0,0,0,2,5,0,3,14,0,
14,8,0,15,12,0,12,0,0,10,8,0,15,0,9,9,
14,12,7,1,2,5,11,0,10,0,12,8,5,1,14,0,
0,5,8,0,5,10,7,2,8,12,0,0,9,0,0,0,
0,0,15,13,3,2,0,5,0,8,0,0,15,5,5,5,
8,5,0,0,0,14,14,0,15,5,9,15,0,1,6,3,
5,2,5,0,3,6,11,3,0,1,0,5,1,0,5,15,
0,0,9,10,1,0,3,14,9,14,0,5,6,5,0,4,
0,2,14,0,6,1,0,0,9,0,0,5,3,15,4,0,
