0,20,22,12,0,15,0,24,18,0,22,0,19,0,6,6,0,17,2,18,9,0,14,0,0,
20,0,13,2,0,15,0,15,19,15,15,18,21,23,6,17,6,7,16,21,5,11,14,17,20,
22,13,0,21,0,11,3,3,19,24,22,10,0,5,6,16,20,18,17,0,0,0,0,24,12,
12,2,21,0,6,21,1,5,15,0,0,0,0,14,4,0,11,1,5,10,12,23,4,23,0,
0,0,0,6,0,19,24,22,0,24,0,14,0,17,19,9,4,3,2,0,0,18,0,0,0,
15,15,11,21,19,0,0,14,5,12,0,9,0,0,19,8,21,13,17,10,12,0,2,0,0,
0,0,3,1,24,0,0,0,0,17,8,19,12,6,0,11,9,14,12,12,0,17,8,19,0,
24,15,3,5,22,14,0,0,20,16,0,11,0,6,0,24,18,11,22,15,21,13,3,0,0,
18,19,19,15,0,5,0,20,0,19,7,23,8,12,0,7,22,19,0,10,18,0,20,15,14,
0,15,24,0,24,12,17,16,19,0,8,12,0,14,0,18,17,4,0,24,23,22,0,11,22,
22,15,22,0,0,0,8,0,7,8,0,3,8,12,1,1,18,19,4,11,3,20,16,8,9,
0,18,10,0,14,9,19,11,23,12,3,0,9,2,0,23,18,0,20,20,0,7,15,11,0,
19,21,0,0,0,0,12,0,8,0,8,9,0,0,0,11,0,8,0,1,1,10,6,0,24,
0,23,5,14,17,0,6,6,12,14,12,2,0,0,23,22,1,19,16,11,18,3,20,2,0,
6,6,6,4,19,19,0,0,0,0,1,0,0,23,0,1,0,3,9,20,0,0,22,1,7,
6,17,16,0,9,8,11,24,7,18,1,23,11,22,1,0,1,6,21,7,1,17,3,0,0,
0,6,20,11,4,21,9,18,22,17,18,18,0,1,0,1,0,15,21,7,1,0,23,12,0,
17,7,18,1,3,13,14,11,19,4,19,0,8,19,3,6,15,0,6,7,5,1,16,22,16,
2,16,17,5,2,17,12,22,0,0,4,20,0,16,9,21,21,6,0,0,23,15,18,14,1,
18,21,0,10,0,10,12,15,10,24,11,20,1,11,20,7,7,7,0,0,20,15,15,17,23,
9,5,0,12,0,12,0,21,18,23,3,0,1,18,0,1,1,5,23,20,0,24,3,3,11,
0,11,0,23,18,0,17,13,0,22,20,7,10,3,0,17,0,1,15,15,24,0,0,16,9,
14,14,0,4,0,2,8,3,20,0,16,15,6,20,22,3,23,16,18,15,3,0,0,1,11,
0,17,24,23,0,0,19,0,15,11,8,11,0,2,1,0,12,22,14,17,3,16,1,0,13,
0,20,12,0,0,0,0,0,14,22,9,0,24,0,7,0,0,16,1,23,11,9,11,13,0,
