0,11,18,3,0,9,11,13,6,2,3,17,6,12,5,3,15,10,0,
11,0,2,3,2,6,10,12,6,14,0,16,3,11,18,0,1,10,16,
18,2,0,9,0,17,9,18,0,9,10,11,5,0,10,3,0,5,0,
3,3,9,0,0,0,0,17,3,13,0,10,2,7,12,4,7,12,14,
0,2,0,0,0,18,9,13,10,0,0,0,11,0,7,11,11,0,0,
9,6,17,0,18,0,4,13,12,0,0,0,15,0,1,0,17,0,3,
11,10,9,0,9,4,0,7,18,3,14,10,15,0,9,10,12,18,18,
13,12,18,17,13,13,7,0,0,10,0,0,2,6,13,0,2,17,9,
6,6,0,3,10,12,18,0,0,1,8,3,5,11,6,2,17,0,7,
2,14,9,13,0,0,3,10,1,0,13,0,0,2,16,9,0,6,8,
3,0,10,0,0,0,14,0,8,13,0,8,8,0,14,6,9,0,0,
17,16,11,10,0,0,10,0,3,0,8,0,0,2,14,3,17,0,11,
6,3,5,2,11,15,15,2,5,0,8,0,0,0,0,11,0,0,2,
12,11,0,7,0,0,0,6,11,2,0,2,0,0,12,5,1,0,8,
5,18,10,12,7,1,9,13,6,16,14,14,0,12,0,12,8,12,15,
3,0,3,4,11,0,10,0,2,9,6,3,11,5,12,0,14,16,3,
15,1,0,7,11,17,12,2,17,0,9,17,0,1,8,14,0,3,12,
10,10,5,12,0,0,18,17,0,6,0,0,0,0,12,16,3,0,12,
0,16,0,14,0,3,18,9,7,8,0,11,2,8,15,3,12,12,0,
