Name,Time,Size
BubbleSort,0.714686,100
BubbleSort,15.456643,1000
BubbleSort,32.488277,2000
BubbleSort,39.559497,3000
BubbleSort,71.28846,4000
BubbleSort,113.398351,5000
BubbleSort,169.129596,6000
BubbleSort,232.030468,7000
BubbleSort,316.241729,8000
BubbleSort,410.642763,9000
BubbleSort,503.037397,10000
ExchangeSort,0.465632,100
ExchangeSort,13.648173,1000
ExchangeSort,17.566618,2000
ExchangeSort,23.504384,3000
ExchangeSort,43.887771,4000
ExchangeSort,72.919603,5000
ExchangeSort,96.981111,6000
ExchangeSort,132.627122,7000
ExchangeSort,171.809685,8000
ExchangeSort,224.91001,9000
ExchangeSort,275.190911,10000
ExchangeSort,1879.725776,25000
ExchangeSort,0.034152,100
ExchangeSort,2.720877,1000
ExchangeSort,9.933805,2000
ExchangeSort,23.295209,3000
ExchangeSort,42.6029,4000
ExchangeSort,63.862376,5000
ExchangeSort,96.329701,6000
ExchangeSort,132.439179,7000
ExchangeSort,172.67893,8000
ExchangeSort,222.383431,9000
ExchangeSort,275.61827,10000
ExchangeSort,1872.676206,25000
ExchangeSort,0.034502,100
ExchangeSort,2.698038,1000
ExchangeSort,10.140046,2000
ExchangeSort,24.385222,3000
ExchangeSort,42.291479,4000
ExchangeSort,63.846453,5000
ExchangeSort,96.709778,6000
ExchangeSort,132.362982,7000
ExchangeSort,171.934282,8000
ExchangeSort,222.904936,9000
ExchangeSort,276.592556,10000
ExchangeSort,1871.443857,25000
ExchangeSort,0.034432,100
ExchangeSort,2.855949,1000
ExchangeSort,11.508237,2000
ExchangeSort,23.284733,3000
ExchangeSort,42.221707,4000
ExchangeSort,64.172332,5000
ExchangeSort,96.64734,6000
ExchangeSort,184.57283,7000
ExchangeSort,188.216589,8000
ExchangeSort,234.189262,9000
ExchangeSort,292.559529,10000
ExchangeSort,1988.007973,25000
ExchangeSort,0.036038,100
ExchangeSort,3.116667,1000
ExchangeSort,10.879665,2000
ExchangeSort,24.154118,3000
ExchangeSort,42.780856,4000
ExchangeSort,65.106948,5000
ExchangeSort,97.089225,6000
ExchangeSort,137.209268,7000
ExchangeSort,172.991121,8000
ExchangeSort,226.765902,9000
ExchangeSort,282.883509,10000
ExchangeSort,1899.065384,25000
InsertionSort,0.195137,100
InsertionSort,5.298649,1000
InsertionSort,27.959419,2000
InsertionSort,7.029245,3000
InsertionSort,14.287989,4000
InsertionSort,18.822713,5000
InsertionSort,27.175311,6000
InsertionSort,37.726443,7000
InsertionSort,48.301181,8000
InsertionSort,40.451929,9000
InsertionSort,50.093378,10000
InsertionSort,377.128309,25000
InsertionSort,0.012641,100
InsertionSort,0.44915,1000
InsertionSort,1.881105,2000
InsertionSort,4.077544,3000
InsertionSort,7.320064,4000
InsertionSort,11.138636,5000
InsertionSort,16.989101,6000
InsertionSort,23.863996,7000
InsertionSort,30.594251,8000
InsertionSort,40.73765,9000
InsertionSort,50.307512,10000
InsertionSort,385.729052,25000
InsertionSort,0.008521,100
InsertionSort,0.475829,1000
InsertionSort,1.759022,2000
InsertionSort,4.720781,3000
InsertionSort,9.716737,4000
InsertionSort,11.011176,5000
InsertionSort,16.891183,6000
InsertionSort,24.360289,7000
InsertionSort,30.396391,8000
InsertionSort,40.762304,9000
InsertionSort,50.382171,10000
InsertionSort,377.67733,25000
InsertionSort,0.009009,100
InsertionSort,0.460673,1000
InsertionSort,1.904711,2000
InsertionSort,4.035289,3000
InsertionSort,7.35282,4000
InsertionSort,10.986871,5000
InsertionSort,18.279488,6000
InsertionSort,25.29232,7000
InsertionSort,31.648296,8000
InsertionSort,40.56172,9000
InsertionSort,50.550559,10000
InsertionSort,377.222035,25000
InsertionSort,0.011105,100
InsertionSort,0.476806,1000
InsertionSort,1.917143,2000
InsertionSort,3.995549,3000
InsertionSort,7.293175,4000
InsertionSort,10.912839,5000
InsertionSort,17.155741,6000
InsertionSort,23.955558,7000
InsertionSort,31.139851,8000
InsertionSort,40.707548,9000
InsertionSort,50.314355,10000
InsertionSort,376.100105,25000
MergeSort,0.137657,100
MergeSort,0.87588,1000
MergeSort,0.48847,2000
MergeSort,2.578121,3000
MergeSort,2.451708,4000
MergeSort,3.900984,5000
MergeSort,2.117098,6000
MergeSort,1.079048,7000
MergeSort,1.021708,8000
MergeSort,1.127727,9000
MergeSort,1.326774,10000
MergeSort,3.525099,25000
MergeSort,0.015714,100
MergeSort,0.155746,1000
MergeSort,0.226495,2000
MergeSort,0.412762,3000
MergeSort,0.461022,4000
MergeSort,0.623753,5000
MergeSort,0.715594,6000
MergeSort,0.835302,7000
MergeSort,1.024223,8000
MergeSort,1.126191,9000
MergeSort,1.369587,10000
MergeSort,3.945125,25000
MergeSort,0.017041,100
MergeSort,0.120127,1000
MergeSort,0.224959,2000
MergeSort,0.375676,3000
MergeSort,0.529537,4000
MergeSort,0.599028,5000
MergeSort,0.720832,6000
MergeSort,0.865752,7000
MergeSort,1.039518,8000
MergeSort,1.124515,9000
MergeSort,1.259168,10000
MergeSort,3.52894,25000
MergeSort,0.012642,100
MergeSort,0.155257,1000
MergeSort,0.222514,2000
MergeSort,0.34781,3000
MergeSort,0.468984,4000
MergeSort,0.978616,5000
MergeSort,0.71245,6000
MergeSort,1.397105,7000
MergeSort,1.025898,8000
MergeSort,4.992534,9000
MergeSort,1.310502,10000
MergeSort,3.497023,25000
MergeSort,0.016133,100
MergeSort,0.109092,1000
MergeSort,0.348718,2000
MergeSort,0.33894,3000
MergeSort,0.526184,4000
MergeSort,0.656369,5000
MergeSort,0.778731,6000
MergeSort,0.903118,7000
MergeSort,0.978686,8000
MergeSort,1.103074,9000
MergeSort,1.42567,10000
MergeSort,3.574546,25000
QuickSort,0.217486,100
QuickSort,0.838515,1000
QuickSort,0.833207,2000
QuickSort,0.333911,3000
QuickSort,0.384546,4000
QuickSort,0.528628,5000
QuickSort,0.622915,6000
QuickSort,0.756171,7000
QuickSort,0.872527,8000
QuickSort,0.970794,9000
QuickSort,1.105658,10000
QuickSort,3.30915,25000
QuickSort,0.012432,100
QuickSort,0.089537,1000
QuickSort,0.18927,2000
QuickSort,0.271613,3000
QuickSort,0.369111,4000
QuickSort,0.489936,5000
QuickSort,0.666356,6000
QuickSort,0.71287,7000
QuickSort,0.811136,8000
QuickSort,0.95019,9000
QuickSort,1.099232,10000
QuickSort,2.988508,25000
QuickSort,0.010896,100
QuickSort,0.11007,1000
QuickSort,0.269308,2000
QuickSort,0.274407,3000
QuickSort,0.377772,4000
QuickSort,0.781454,5000
QuickSort,0.659162,6000
QuickSort,0.715943,7000
QuickSort,0.836908,8000
QuickSort,0.966812,9000
QuickSort,1.110337,10000
QuickSort,2.993258,25000
QuickSort,0.010197,100
QuickSort,0.122222,1000
QuickSort,0.181657,2000
QuickSort,0.268121,3000
QuickSort,0.429385,4000
QuickSort,0.496222,5000
