Name,Time,Size
BubbleSort,0.0,100
BubbleSort,0.620121,100
BubbleSort,0.402565,100
BubbleSort,0.174115,100
BubbleSort,0.140661,100
BubbleSort,0.153232,100
BubbleSort,0.094356,100
BubbleSort,0.116635,100
BubbleSort,0.102247,100
BubbleSort,0.125784,100
BubbleSort,0.124178,1000
BubbleSort,10.985684,1000
BubbleSort,11.362408,1000
BubbleSort,12.365747,1000
BubbleSort,9.632928,1000
BubbleSort,4.149271,1000
BubbleSort,5.319322,1000
BubbleSort,4.274217,1000
BubbleSort,4.388058,1000
BubbleSort,4.142705,1000
BubbleSort,4.23734,2000
BubbleSort,16.544631,2000
BubbleSort,20.272758,2000
BubbleSort,19.867679,2000
BubbleSort,16.770987,2000
BubbleSort,16.419196,2000
BubbleSort,16.481494,2000
BubbleSort,16.32896,2000
BubbleSort,16.25856,2000
BubbleSort,16.708269,2000
BubbleSort,16.479329,3000
BubbleSort,39.662723,3000
BubbleSort,39.015713,3000
BubbleSort,38.423668,3000
BubbleSort,41.241276,3000
BubbleSort,39.051402,3000
BubbleSort,38.605605,3000
BubbleSort,40.883129,3000
BubbleSort,38.41438,3000
BubbleSort,38.760792,3000
BubbleSort,38.578577,4000
BubbleSort,70.831837,4000
BubbleSort,70.957342,4000
BubbleSort,71.086898,4000
BubbleSort,71.398949,4000
BubbleSort,71.205419,4000
BubbleSort,70.550936,4000
BubbleSort,70.904961,4000
BubbleSort,71.241386,4000
BubbleSort,71.076282,4000
BubbleSort,70.906847,5000
BubbleSort,113.816212,5000
BubbleSort,113.933824,5000
BubbleSort,114.800205,5000
BubbleSort,114.197544,5000
BubbleSort,113.380681,5000
BubbleSort,114.546611,5000
BubbleSort,113.2139,5000
BubbleSort,123.264968,5000
BubbleSort,114.460427,5000
BubbleSort,115.291468,6000
BubbleSort,166.9231,6000
BubbleSort,166.683685,6000
BubbleSort,168.112638,6000
BubbleSort,170.505609,6000
BubbleSort,166.520745,6000
BubbleSort,167.818116,6000
BubbleSort,167.674243,6000
BubbleSort,167.05559,6000
BubbleSort,166.389932,6000
BubbleSort,168.737019,7000
BubbleSort,231.262214,7000
BubbleSort,231.889528,7000
BubbleSort,233.282931,7000
BubbleSort,232.032912,7000
BubbleSort,230.129527,7000
BubbleSort,232.033051,7000
BubbleSort,231.691318,7000
BubbleSort,231.648226,7000
BubbleSort,233.299553,7000
BubbleSort,230.732188,8000
BubbleSort,310.998185,8000
BubbleSort,310.874007,8000
BubbleSort,313.562617,8000
BubbleSort,311.434414,8000
BubbleSort,310.950903,8000
BubbleSort,310.298096,8000
BubbleSort,310.617411,8000
BubbleSort,309.749772,8000
BubbleSort,312.075208,8000
BubbleSort,311.080737,9000
BubbleSort,403.225061,9000
BubbleSort,399.551689,9000
BubbleSort,399.5292,9000
BubbleSort,401.882083,9000
BubbleSort,401.132547,9000
BubbleSort,400.267143,9000
BubbleSort,412.220338,9000
BubbleSort,403.609117,9000
BubbleSort,413.796237,9000
BubbleSort,411.978129,10000
BubbleSort,502.700693,10000
BubbleSort,505.669575,10000
BubbleSort,501.385651,10000
BubbleSort,497.092437,10000
BubbleSort,501.294438,10000
BubbleSort,495.906812,10000
BubbleSort,498.442749,10000
BubbleSort,498.711498,10000
BubbleSort,516.834542,10000
BubbleSort,499.621879,25000
ExchangeSort,0.0,100
ExchangeSort,0.46668,100
ExchangeSort,0.647638,100
ExchangeSort,0.372673,100
ExchangeSort,0.429105,100
ExchangeSort,0.524857,100
ExchangeSort,0.521435,100
ExchangeSort,0.340826,100
ExchangeSort,0.478133,100
ExchangeSort,0.390064,100
ExchangeSort,0.377492,1000
ExchangeSort,9.350909,1000
ExchangeSort,9.255576,1000
ExchangeSort,3.851118,1000
ExchangeSort,3.58621,1000
ExchangeSort,2.973003,1000
ExchangeSort,3.781975,1000
ExchangeSort,4.020413,1000
ExchangeSort,2.922439,1000
ExchangeSort,3.505823,1000
ExchangeSort,3.372706,2000
ExchangeSort,13.296312,2000
ExchangeSort,11.989931,2000
ExchangeSort,13.266001,2000
ExchangeSort,12.886694,2000
ExchangeSort,11.523322,2000
ExchangeSort,12.023805,2000
ExchangeSort,11.42757,2000
ExchangeSort,13.402332,2000
